LAT;;;;;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386
LON;;;;;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775
ASL;;;;;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000
CITY;;;;;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;07;18;00;00;17.49;85.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.08;360.00;25.92;359.20;13.36;265.36;19.44
2018;07;18;01;00;16.94;87.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.16;4.09;20.55;3.01;15.98;247.48;14.76
