NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 63B0,PI040298AD5I210900,2018-08-21 16:48:51,-1.0,87.76,5.54,42.87
Flower power 63B0,PI040298AD5I210900,2018-08-21 17:03:45,-1.0,79.32,5.41,42.11
Flower power 63B0,PI040298AD5I210900,2018-08-21 17:18:45,-1.0,69.56,5.54,40.87
Flower power 63B0,PI040298AD5I210900,2018-08-21 17:33:45,-1.0,57.69,5.17,39.85
Flower power 63B0,PI040298AD5I210900,2018-08-21 17:48:45,-1.0,46.91,5.41,38.6
Flower power 63B0,PI040298AD5I210900,2018-08-21 18:03:45,-1.0,34.37,5.41,36.36
Flower power 63B0,PI040298AD5I210900,2018-08-21 18:18:45,-1.0,13.55,5.54,31.29
Flower power 63B0,PI040298AD5I210900,2018-08-21 18:33:45,-1.0,9.89,5.41,29.0
Flower power 63B0,PI040298AD5I210900,2018-08-21 18:48:45,-1.0,6.11,6.16,27.71
Flower power 63B0,PI040298AD5I210900,2018-08-21 19:03:45,-1.0,2.67,6.03,26.42
Flower power 63B0,PI040298AD5I210900,2018-08-21 19:18:45,-1.0,0.66,5.66,25.11
Flower power 63B0,PI040298AD5I210900,2018-08-21 19:33:45,-1.0,0.1,5.29,24.57
Flower power 63B0,PI040298AD5I210900,2018-08-21 19:48:45,-1.0,0.1,5.41,24.06
Flower power 63B0,PI040298AD5I210900,2018-08-21 20:03:45,-1.0,0.1,5.29,23.6
Flower power 63B0,PI040298AD5I210900,2018-08-21 20:18:45,-1.0,0.1,5.41,23.14
Flower power 63B0,PI040298AD5I210900,2018-08-21 20:33:45,-1.0,0.1,5.17,22.91
Flower power 63B0,PI040298AD5I210900,2018-08-21 20:48:45,-1.0,0.1,5.91,22.58
Flower power 63B0,PI040298AD5I210900,2018-08-21 21:03:45,-1.0,0.1,5.91,22.35
Flower power 63B0,PI040298AD5I210900,2018-08-21 21:18:45,-1.0,0.1,5.78,22.54
Flower power 63B0,PI040298AD5I210900,2018-08-21 21:33:45,-1.0,0.1,5.54,22.49
Flower power 63B0,PI040298AD5I210900,2018-08-21 21:48:45,-1.0,0.1,5.66,22.54
Flower power 63B0,PI040298AD5I210900,2018-08-21 22:03:45,-1.0,0.1,5.66,22.44
Flower power 63B0,PI040298AD5I210900,2018-08-21 22:18:45,-1.0,0.1,5.78,22.26
Flower power 63B0,PI040298AD5I210900,2018-08-21 22:33:45,-1.0,0.1,6.16,22.54
Flower power 63B0,PI040298AD5I210900,2018-08-21 22:48:45,-1.0,0.1,5.91,22.02
Flower power 63B0,PI040298AD5I210900,2018-08-21 23:03:45,-1.0,0.1,6.16,21.41
Flower power 63B0,PI040298AD5I210900,2018-08-21 23:18:45,-1.0,0.1,6.28,21.41
Flower power 63B0,PI040298AD5I210900,2018-08-21 23:33:45,-1.0,0.1,6.28,21.17
Flower power 63B0,PI040298AD5I210900,2018-08-21 23:48:45,-1.0,0.1,5.78,20.88
Flower power 63B0,PI040298AD5I210900,2018-08-22 00:03:45,-1.0,0.1,6.28,21.03
Flower power 63B0,PI040298AD5I210900,2018-08-22 00:18:45,-1.0,0.1,6.16,20.93
Flower power 63B0,PI040298AD5I210900,2018-08-22 00:33:45,-1.0,0.1,6.28,21.5
Flower power 63B0,PI040298AD5I210900,2018-08-22 00:48:45,-1.0,0.1,6.28,20.74
Flower power 63B0,PI040298AD5I210900,2018-08-22 01:03:45,-1.0,0.1,6.41,19.57
Flower power 63B0,PI040298AD5I210900,2018-08-22 01:18:45,-1.0,0.1,5.91,18.19
Flower power 63B0,PI040298AD5I210900,2018-08-22 01:33:45,-1.0,0.1,6.03,17.83
Flower power 63B0,PI040298AD5I210900,2018-08-22 01:48:45,-1.0,0.1,6.16,17.48
Flower power 63B0,PI040298AD5I210900,2018-08-22 02:03:45,-1.0,0.1,6.28,17.27
Flower power 63B0,PI040298AD5I210900,2018-08-22 02:18:45,-1.0,0.1,6.03,16.97
Flower power 63B0,PI040298AD5I210900,2018-08-22 02:33:45,-1.0,0.1,6.16,16.6
Flower power 63B0,PI040298AD5I210900,2018-08-22 02:48:45,-1.0,0.1,6.41,16.5
Flower power 63B0,PI040298AD5I210900,2018-08-22 03:03:45,-1.0,0.1,6.28,16.4
Flower power 63B0,PI040298AD5I210900,2018-08-22 03:18:45,-1.0,0.1,6.03,16.24
Flower power 63B0,PI040298AD5I210900,2018-08-22 03:33:45,-1.0,0.1,6.28,16.24
Flower power 63B0,PI040298AD5I210900,2018-08-22 03:48:45,-1.0,0.1,6.16,16.03
Flower power 63B0,PI040298AD5I210900,2018-08-22 04:03:45,-1.0,0.1,6.28,15.77
Flower power 63B0,PI040298AD5I210900,2018-08-22 04:18:45,-1.0,0.1,6.41,15.66
Flower power 63B0,PI040298AD5I210900,2018-08-22 04:33:45,-1.0,0.1,6.53,15.61
Flower power 63B0,PI040298AD5I210900,2018-08-22 04:48:45,-1.0,0.1,6.28,15.5
Flower power 63B0,PI040298AD5I210900,2018-08-22 05:03:45,-1.0,0.1,6.41,16.08
Flower power 63B0,PI040298AD5I210900,2018-08-22 05:18:45,-1.0,0.1,6.28,16.97
Flower power 63B0,PI040298AD5I210900,2018-08-22 05:33:45,-1.0,0.1,6.53,16.97
Flower power 63B0,PI040298AD5I210900,2018-08-22 05:48:45,-1.0,0.19,6.53,16.97
Flower power 63B0,PI040298AD5I210900,2018-08-22 06:03:45,-1.0,1.34,6.28,16.71
Flower power 63B0,PI040298AD5I210900,2018-08-22 06:18:45,-1.0,3.84,6.41,18.49
Flower power 63B0,PI040298AD5I210900,2018-08-22 06:33:45,-1.0,7.39,6.41,18.74
Flower power 63B0,PI040298AD5I210900,2018-08-22 06:48:45,-1.0,15.9,6.28,20.69
Flower power 63B0,PI040298AD5I210900,2018-08-22 07:03:45,-1.0,20.33,6.16,23.1
Flower power 63B0,PI040298AD5I210900,2018-08-22 07:18:45,-1.0,31.72,6.53,26.51
Flower power 63B0,PI040298AD5I210900,2018-08-22 07:33:45,-1.0,40.46,6.91,29.35
Flower power 63B0,PI040298AD5I210900,2018-08-22 07:48:45,-1.0,44.3,6.41,30.89
Flower power 63B0,PI040298AD5I210900,2018-08-22 08:03:45,-1.0,55.9,6.41,34.68
Flower power 63B0,PI040298AD5I210900,2018-08-22 08:18:45,-1.0,63.09,6.66,37.19
Flower power 63B0,PI040298AD5I210900,2018-08-22 08:33:45,-1.0,71.38,6.03,39.32
Flower power 63B0,PI040298AD5I210900,2018-08-22 08:48:45,-1.0,80.09,6.03,41.36
Flower power 63B0,PI040298AD5I210900,2018-08-22 09:03:45,-1.0,85.05,6.41,42.31
Flower power 63B0,PI040298AD5I210900,2018-08-22 09:18:45,-1.0,91.64,6.16,45.44
Flower power 63B0,PI040298AD5I210900,2018-08-22 09:33:45,-1.0,98.71,6.41,45.98
Flower power 63B0,PI040298AD5I210900,2018-08-22 09:48:45,-1.0,106.93,6.16,48.54
Flower power 63B0,PI040298AD5I210900,2018-08-22 10:03:45,-1.0,115.79,6.41,49.06
Flower power 63B0,PI040298AD5I210900,2018-08-22 10:18:45,-1.0,124.34,6.41,50.65
Flower power 63B0,PI040298AD5I210900,2018-08-22 10:33:45,-1.0,131.09,6.03,51.75
Flower power 63B0,PI040298AD5I210900,2018-08-22 10:48:45,-1.0,137.46,6.28,51.81
Flower power 63B0,PI040298AD5I210900,2018-08-22 11:03:45,-1.0,143.26,6.16,53.56
Flower power 63B0,PI040298AD5I210900,2018-08-22 11:18:45,-1.0,148.24,6.03,53.24
Flower power 63B0,PI040298AD5I210900,2018-08-22 11:33:45,-1.0,152.21,6.16,53.3
Flower power 63B0,PI040298AD5I210900,2018-08-22 11:48:45,-1.0,154.97,6.03,53.88
Flower power 63B0,PI040298AD5I210900,2018-08-22 12:03:45,-1.0,159.3,5.78,53.75
Flower power 63B0,PI040298AD5I210900,2018-08-22 12:18:45,-1.0,160.8,6.41,54.39
Flower power 63B0,PI040298AD5I210900,2018-08-22 12:33:45,-1.0,162.32,5.78,53.62
Flower power 63B0,PI040298AD5I210900,2018-08-22 12:48:45,-1.0,163.87,5.66,53.05
Flower power 63B0,PI040298AD5I210900,2018-08-22 13:03:45,-1.0,163.87,6.03,52.8
Flower power 63B0,PI040298AD5I210900,2018-08-22 13:18:45,-1.0,163.87,5.78,52.36
Flower power 63B0,PI040298AD5I210900,2018-08-22 13:33:45,-1.0,163.87,5.66,51.99
Flower power 63B0,PI040298AD5I210900,2018-08-22 13:48:45,-1.0,160.8,5.78,52.55
Flower power 63B0,PI040298AD5I210900,2018-08-22 14:03:45,-1.0,157.83,6.16,51.38
Flower power 63B0,PI040298AD5I210900,2018-08-22 14:18:45,-1.0,154.97,6.16,51.68
Flower power 63B0,PI040298AD5I210900,2018-08-22 14:33:45,-1.0,152.21,6.16,49.53
Flower power 63B0,PI040298AD5I210900,2018-08-22 14:48:45,-1.0,146.96,5.91,50.95
Flower power 63B0,PI040298AD5I210900,2018-08-22 15:03:45,-1.0,143.26,6.28,50.36
Flower power 63B0,PI040298AD5I210900,2018-08-22 15:18:45,-1.0,137.46,5.78,49.53
Flower power 63B0,PI040298AD5I210900,2018-08-22 15:33:45,-1.0,129.09,5.78,48.2
Flower power 63B0,PI040298AD5I210900,2018-08-22 15:48:45,-1.0,119.92,6.03,46.91
Flower power 63B0,PI040298AD5I210900,2018-08-22 16:03:45,-1.0,56.48,6.03,42.57
Flower power 63B0,PI040298AD5I210900,2018-08-22 16:18:45,-1.0,102.98,6.03,45.28
Flower power 63B0,PI040298AD5I210900,2018-08-22 16:33:45,-1.0,94.78,6.16,44.43
Flower power 63B0,PI040298AD5I210900,2018-08-22 16:48:45,-1.0,85.93,6.16,44.27
Flower power 63B0,PI040298AD5I210900,2018-08-22 17:03:45,-1.0,73.96,5.91,42.36
Flower power 63B0,PI040298AD5I210900,2018-08-22 17:18:45,-1.0,60.27,6.41,37.1
Flower power 63B0,PI040298AD5I210900,2018-08-22 17:33:45,-1.0,52.44,5.91,36.82
Flower power 63B0,PI040298AD5I210900,2018-08-22 17:48:45,-1.0,36.87,6.16,34.59
Flower power 63B0,PI040298AD5I210900,2018-08-22 18:03:45,-1.0,18.25,5.78,30.23
Flower power 63B0,PI040298AD5I210900,2018-08-22 18:18:45,-1.0,12.46,6.03,27.84
Flower power 63B0,PI040298AD5I210900,2018-08-22 18:33:45,-1.0,9.28,6.28,26.91
Flower power 63B0,PI040298AD5I210900,2018-08-22 18:48:45,-1.0,5.66,6.28,26.06
Flower power 63B0,PI040298AD5I210900,2018-08-22 19:03:45,-1.0,2.41,6.16,25.11
Flower power 63B0,PI040298AD5I210900,2018-08-22 19:18:45,-1.0,0.54,6.03,24.2
Flower power 63B0,PI040298AD5I210900,2018-08-22 19:33:45,-1.0,0.1,6.28,23.42
Flower power 63B0,PI040298AD5I210900,2018-08-22 19:48:45,-1.0,0.1,6.16,22.72
Flower power 63B0,PI040298AD5I210900,2018-08-22 20:03:45,-1.0,0.1,6.41,22.4
Flower power 63B0,PI040298AD5I210900,2018-08-22 20:18:45,-1.0,0.1,6.66,21.97
Flower power 63B0,PI040298AD5I210900,2018-08-22 20:33:45,-1.0,0.1,6.16,21.93
Flower power 63B0,PI040298AD5I210900,2018-08-22 20:48:45,-1.0,0.1,6.41,21.79
Flower power 63B0,PI040298AD5I210900,2018-08-22 21:03:45,-1.0,0.1,6.53,21.79
Flower power 63B0,PI040298AD5I210900,2018-08-22 21:18:45,-1.0,0.1,6.16,21.5
Flower power 63B0,PI040298AD5I210900,2018-08-22 21:33:45,-1.0,0.1,6.66,21.12
Flower power 63B0,PI040298AD5I210900,2018-08-22 21:48:45,-1.0,0.1,6.53,20.59
Flower power 63B0,PI040298AD5I210900,2018-08-22 22:03:45,-1.0,0.1,6.66,20.5
Flower power 63B0,PI040298AD5I210900,2018-08-22 22:18:45,-1.0,0.1,6.66,20.21
Flower power 63B0,PI040298AD5I210900,2018-08-22 22:33:45,-1.0,0.1,6.16,20.4
Flower power 63B0,PI040298AD5I210900,2018-08-22 22:48:45,-1.0,0.1,6.41,20.59
Flower power 63B0,PI040298AD5I210900,2018-08-22 23:03:45,-1.0,0.1,6.53,20.59
Flower power 63B0,PI040298AD5I210900,2018-08-22 23:18:45,-1.0,0.1,6.28,20.79
Flower power 63B0,PI040298AD5I210900,2018-08-22 23:33:45,-1.0,0.1,6.16,20.83
Flower power 63B0,PI040298AD5I210900,2018-08-22 23:48:45,-1.0,0.1,6.53,20.4
Flower power 63B0,PI040298AD5I210900,2018-08-23 00:03:45,-1.0,0.1,6.79,20.35
Flower power 63B0,PI040298AD5I210900,2018-08-23 00:18:45,-1.0,0.1,6.79,20.21
Flower power 63B0,PI040298AD5I210900,2018-08-23 00:33:45,-1.0,0.1,6.66,20.59
Flower power 63B0,PI040298AD5I210900,2018-08-23 00:48:45,-1.0,0.1,6.28,20.3
Flower power 63B0,PI040298AD5I210900,2018-08-23 01:03:45,-1.0,0.1,6.16,20.45
Flower power 63B0,PI040298AD5I210900,2018-08-23 01:18:45,-1.0,0.1,6.41,19.53
Flower power 63B0,PI040298AD5I210900,2018-08-23 01:33:45,-1.0,0.1,6.16,20.88
Flower power 63B0,PI040298AD5I210900,2018-08-23 01:48:45,-1.0,0.1,6.16,21.26
Flower power 63B0,PI040298AD5I210900,2018-08-23 02:03:45,-1.0,0.1,6.41,21.31
Flower power 63B0,PI040298AD5I210900,2018-08-23 02:18:45,-1.0,0.1,6.53,19.67
Flower power 63B0,PI040298AD5I210900,2018-08-23 02:33:45,-1.0,0.1,6.41,19.62
Flower power 63B0,PI040298AD5I210900,2018-08-23 02:48:45,-1.0,0.1,6.66,17.88
Flower power 63B0,PI040298AD5I210900,2018-08-23 03:03:45,-1.0,0.1,6.53,17.17
Flower power 63B0,PI040298AD5I210900,2018-08-23 03:18:45,-1.0,0.1,7.04,16.97
Flower power 63B0,PI040298AD5I210900,2018-08-23 03:33:45,-1.0,0.1,6.79,16.76
Flower power 63B0,PI040298AD5I210900,2018-08-23 03:48:45,-1.0,0.1,6.79,17.12
Flower power 63B0,PI040298AD5I210900,2018-08-23 04:03:45,-1.0,0.1,6.91,16.45
Flower power 63B0,PI040298AD5I210900,2018-08-23 04:18:45,-1.0,0.1,7.04,16.29
Flower power 63B0,PI040298AD5I210900,2018-08-23 04:33:45,-1.0,0.1,6.79,16.24
Flower power 63B0,PI040298AD5I210900,2018-08-23 04:48:45,-1.0,0.1,6.53,16.14
Flower power 63B0,PI040298AD5I210900,2018-08-23 05:03:45,-1.0,0.1,6.91,16.66
Flower power 63B0,PI040298AD5I210900,2018-08-23 05:18:45,-1.0,0.1,6.91,15.98
Flower power 63B0,PI040298AD5I210900,2018-08-23 05:33:45,-1.0,0.1,7.04,16.55
Flower power 63B0,PI040298AD5I210900,2018-08-23 05:48:45,-1.0,0.1,6.66,15.77
Flower power 63B0,PI040298AD5I210900,2018-08-23 06:03:45,-1.0,1.15,6.91,17.53
Flower power 63B0,PI040298AD5I210900,2018-08-23 06:18:45,-1.0,3.27,6.79,17.78
Flower power 63B0,PI040298AD5I210900,2018-08-23 06:33:45,-1.0,6.71,6.79,18.88
Flower power 63B0,PI040298AD5I210900,2018-08-23 06:48:45,-1.0,13.26,6.66,20.26
Flower power 63B0,PI040298AD5I210900,2018-08-23 07:03:45,-1.0,19.75,6.41,22.4
Flower power 63B0,PI040298AD5I210900,2018-08-23 07:18:45,-1.0,31.4,6.66,24.93
Flower power 63B0,PI040298AD5I210900,2018-08-23 07:33:45,-1.0,38.87,6.66,26.78
Flower power 63B0,PI040298AD5I210900,2018-08-23 07:48:45,-1.0,45.83,6.53,29.04
Flower power 63B0,PI040298AD5I210900,2018-08-23 08:02:37,-1.0,53.84,6.66,32.27
Flower power 63B0,PI040298AD5I210900,2018-08-23 08:17:37,-1.0,61.42,6.79,35.59
Flower power 63B0,PI040298AD5I210900,2018-08-23 08:32:37,-1.0,69.56,6.79,37.99
Flower power 63B0,PI040298AD5I210900,2018-08-23 08:47:37,-1.0,77.45,7.04,40.92
Flower power 63B0,PI040298AD5I210900,2018-08-23 09:02:37,-1.0,83.33,6.79,43.28
Flower power 63B0,PI040298AD5I210900,2018-08-23 09:17:37,-1.0,88.7,6.79,45.65
Flower power 63B0,PI040298AD5I210900,2018-08-23 09:32:37,-1.0,95.87,6.91,47.08
Flower power 63B0,PI040298AD5I210900,2018-08-23 09:47:37,-1.0,104.27,6.91,48.6
Flower power 63B0,PI040298AD5I210900,2018-08-23 10:02:37,-1.0,112.68,6.66,49.82
Flower power 63B0,PI040298AD5I210900,2018-08-23 10:17:37,-1.0,121.65,6.28,51.2
Flower power 63B0,PI040298AD5I210900,2018-08-23 10:32:37,-1.0,129.09,6.79,52.18
Flower power 63B0,PI040298AD5I210900,2018-08-23 10:47:37,-1.0,134.2,6.41,53.81
Flower power 63B0,PI040298AD5I210900,2018-08-23 11:02:37,-1.0,140.88,6.28,53.11
Flower power 63B0,PI040298AD5I210900,2018-08-23 11:17:37,-1.0,144.47,6.28,54.46
Flower power 63B0,PI040298AD5I210900,2018-08-23 11:32:37,-1.0,148.24,6.41,54.59
Flower power 63B0,PI040298AD5I210900,2018-08-23 11:47:37,-1.0,153.58,6.53,54.78
Flower power 63B0,PI040298AD5I210900,2018-08-23 12:02:37,-1.0,156.39,6.03,55.0
Flower power 63B0,PI040298AD5I210900,2018-08-23 12:17:37,-1.0,157.83,6.41,55.0
Flower power 63B0,PI040298AD5I210900,2018-08-23 12:32:37,-1.0,156.39,6.28,55.0
Flower power 63B0,PI040298AD5I210900,2018-08-23 12:47:37,-1.0,142.06,27.25,35.95
Flower power 63B0,PI040298AD5I210900,2018-08-23 13:02:37,-1.0,159.3,27.61,36.59
Flower power 63B0,PI040298AD5I210900,2018-08-23 13:17:37,-1.0,153.58,28.32,35.4
Flower power 63B0,PI040298AD5I210900,2018-08-23 13:32:37,0.06,153.58,29.75,32.84
Flower power 63B0,PI040298AD5I210900,2018-08-23 13:47:37,0.06,149.54,29.14,33.02
Flower power 63B0,PI040298AD5I210900,2018-08-23 14:02:37,0.06,153.58,27.21,35.95
Flower power 63B0,PI040298AD5I210900,2018-08-23 14:17:37,0.06,150.86,25.03,39.94
Flower power 63B0,PI040298AD5I210900,2018-08-23 14:32:37,0.06,146.96,23.68,40.97
Flower power 63B0,PI040298AD5I210900,2018-08-23 14:47:37,0.06,142.06,23.31,41.12
Flower power 63B0,PI040298AD5I210900,2018-08-23 15:02:37,0.06,136.36,22.81,41.31
Flower power 63B0,PI040298AD5I210900,2018-08-23 15:17:37,0.06,133.15,23.06,41.56
Flower power 63B0,PI040298AD5I210900,2018-08-23 15:32:37,0.06,127.15,23.06,41.91
Flower power 63B0,PI040298AD5I210900,2018-08-23 15:47:37,0.06,119.92,22.93,42.11
Flower power 63B0,PI040298AD5I210900,2018-08-23 16:02:37,0.06,112.68,22.68,41.26
Flower power 63B0,PI040298AD5I210900,2018-08-23 16:17:37,0.06,104.92,22.93,40.43
Flower power 63B0,PI040298AD5I210900,2018-08-23 16:32:37,0.06,94.78,22.56,39.51
Flower power 63B0,PI040298AD5I210900,2018-08-23 16:47:37,0.06,85.49,22.31,38.65
Flower power 63B0,PI040298AD5I210900,2018-08-23 17:02:37,0.06,76.73,22.18,37.38
Flower power 63B0,PI040298AD5I210900,2018-08-23 17:17:37,0.06,65.9,22.31,36.04
Flower power 63B0,PI040298AD5I210900,2018-08-23 17:32:37,0.06,56.29,22.06,34.5
Flower power 63B0,PI040298AD5I210900,2018-08-23 17:47:37,0.06,47.89,22.06,33.11
Flower power 63B0,PI040298AD5I210900,2018-08-23 18:02:37,0.06,37.13,21.81,31.96
Flower power 63B0,PI040298AD5I210900,2018-08-23 18:17:37,0.06,14.0,21.8,27.8
Flower power 63B0,PI040298AD5I210900,2018-08-23 18:32:37,0.06,9.87,21.43,26.1
Flower power 63B0,PI040298AD5I210900,2018-08-23 18:47:37,0.06,5.86,21.31,25.02
Flower power 63B0,PI040298AD5I210900,2018-08-23 19:02:37,0.06,2.38,21.55,23.93
Flower power 63B0,PI040298AD5I210900,2018-08-23 19:17:37,0.06,0.47,21.18,23.19
Flower power 63B0,PI040298AD5I210900,2018-08-23 19:32:37,0.06,0.1,21.43,22.63
Flower power 63B0,PI040298AD5I210900,2018-08-23 19:47:37,0.06,0.1,20.93,21.5
Flower power 63B0,PI040298AD5I210900,2018-08-23 20:02:37,0.06,0.1,21.05,20.98
Flower power 63B0,PI040298AD5I210900,2018-08-23 20:17:37,0.06,0.1,21.05,21.12
Flower power 63B0,PI040298AD5I210900,2018-08-23 20:32:37,0.06,0.1,20.93,19.92
Flower power 63B0,PI040298AD5I210900,2018-08-23 20:47:37,0.06,0.1,21.05,21.6
Flower power 63B0,PI040298AD5I210900,2018-08-23 21:02:37,0.06,0.1,20.92,21.26
Flower power 63B0,PI040298AD5I210900,2018-08-23 21:17:37,0.06,0.1,20.55,22.3
Flower power 63B0,PI040298AD5I210900,2018-08-23 21:32:37,0.06,0.1,20.92,22.3
Flower power 63B0,PI040298AD5I210900,2018-08-23 21:47:37,0.06,0.1,20.92,22.86
Flower power 63B0,PI040298AD5I210900,2018-08-23 22:02:37,0.06,0.1,20.8,22.77
Flower power 63B0,PI040298AD5I210900,2018-08-23 22:17:37,0.06,0.1,21.05,22.58
Flower power 63B0,PI040298AD5I210900,2018-08-23 22:32:37,0.06,0.1,20.67,22.54
Flower power 63B0,PI040298AD5I210900,2018-08-23 22:47:37,0.06,0.1,20.92,21.6
Flower power 63B0,PI040298AD5I210900,2018-08-23 23:02:37,0.06,0.1,20.67,22.12
Flower power 63B0,PI040298AD5I210900,2018-08-23 23:17:37,0.06,0.1,20.79,22.02
Flower power 63B0,PI040298AD5I210900,2018-08-23 23:32:37,0.06,0.1,20.42,21.55
Flower power 63B0,PI040298AD5I210900,2018-08-23 23:47:37,0.06,0.1,20.67,21.36
Flower power 63B0,PI040298AD5I210900,2018-08-24 00:02:37,0.06,0.1,20.42,21.26
Flower power 63B0,PI040298AD5I210900,2018-08-24 00:17:37,0.06,0.1,20.54,20.98
Flower power 63B0,PI040298AD5I210900,2018-08-24 00:32:37,0.06,0.1,20.54,20.88
Flower power 63B0,PI040298AD5I210900,2018-08-24 00:47:37,0.06,0.1,20.16,21.17
Flower power 63B0,PI040298AD5I210900,2018-08-24 01:02:37,0.06,0.1,20.54,21.07
Flower power 63B0,PI040298AD5I210900,2018-08-24 01:17:37,0.06,0.1,20.42,21.31
Flower power 63B0,PI040298AD5I210900,2018-08-24 01:32:37,0.06,0.1,20.41,20.59
Flower power 63B0,PI040298AD5I210900,2018-08-24 01:47:37,0.06,0.1,20.41,20.35
Flower power 63B0,PI040298AD5I210900,2018-08-24 02:02:37,0.06,0.1,20.16,19.57
Flower power 63B0,PI040298AD5I210900,2018-08-24 02:17:37,0.06,0.1,20.16,19.87
Flower power 63B0,PI040298AD5I210900,2018-08-24 02:32:37,0.06,0.1,20.41,20.26
Flower power 63B0,PI040298AD5I210900,2018-08-24 02:47:37,0.06,0.1,20.29,20.3
Flower power 63B0,PI040298AD5I210900,2018-08-24 03:02:37,0.06,0.1,20.16,20.45
Flower power 63B0,PI040298AD5I210900,2018-08-24 03:17:37,0.06,0.1,20.04,20.26
Flower power 63B0,PI040298AD5I210900,2018-08-24 03:32:37,0.06,0.1,19.91,20.06
Flower power 63B0,PI040298AD5I210900,2018-08-24 03:47:37,0.06,0.1,20.29,19.87
Flower power 63B0,PI040298AD5I210900,2018-08-24 04:02:37,0.06,0.1,19.91,20.01
Flower power 63B0,PI040298AD5I210900,2018-08-24 04:17:37,0.06,0.1,20.16,19.72
Flower power 63B0,PI040298AD5I210900,2018-08-24 04:32:37,0.06,0.1,20.03,19.67
Flower power 63B0,PI040298AD5I210900,2018-08-24 04:47:37,0.06,0.1,20.16,19.72
Flower power 63B0,PI040298AD5I210900,2018-08-24 05:02:37,0.06,0.1,20.03,19.67
Flower power 63B0,PI040298AD5I210900,2018-08-24 05:17:37,0.06,0.1,20.03,19.77
Flower power 63B0,PI040298AD5I210900,2018-08-24 05:32:37,0.06,0.1,19.91,19.87
Flower power 63B0,PI040298AD5I210900,2018-08-24 05:47:37,0.06,0.1,19.78,19.62
Flower power 63B0,PI040298AD5I210900,2018-08-24 06:02:37,0.06,1.16,19.91,19.67
Flower power 63B0,PI040298AD5I210900,2018-08-24 06:17:37,0.06,3.41,20.16,20.01
Flower power 63B0,PI040298AD5I210900,2018-08-24 06:32:37,0.06,6.16,20.03,20.06
Flower power 63B0,PI040298AD5I210900,2018-08-24 06:47:37,0.06,8.77,20.03,20.64
Flower power 63B0,PI040298AD5I210900,2018-08-24 07:02:37,0.06,18.73,19.78,23.0
Flower power 63B0,PI040298AD5I210900,2018-08-24 07:17:37,0.06,28.95,19.65,25.61
Flower power 63B0,PI040298AD5I210900,2018-08-24 07:32:37,0.06,28.9,19.91,25.65
Flower power 63B0,PI040298AD5I210900,2018-08-24 07:47:37,0.06,47.47,19.78,28.86
Flower power 63B0,PI040298AD5I210900,2018-08-24 08:02:37,0.06,55.32,19.91,30.76
Flower power 63B0,PI040298AD5I210900,2018-08-24 08:17:37,0.06,64.08,19.9,33.29
Flower power 63B0,PI040298AD5I210900,2018-08-24 08:32:37,0.06,73.3,19.78,35.77
Flower power 63B0,PI040298AD5I210900,2018-08-24 08:47:37,0.06,83.75,20.03,36.46
Flower power 63B0,PI040298AD5I210900,2018-08-24 09:02:37,0.06,85.05,19.78,38.65
Flower power 63B0,PI040298AD5I210900,2018-08-24 09:17:37,0.06,83.75,19.65,38.37
Flower power 63B0,PI040298AD5I210900,2018-08-24 09:32:37,0.06,91.14,19.65,39.32
Flower power 63B0,PI040298AD5I210900,2018-08-24 09:47:37,0.06,111.19,19.65,42.26
Flower power 63B0,PI040298AD5I210900,2018-08-24 10:02:37,0.06,120.78,19.52,44.8
Flower power 63B0,PI040298AD5I210900,2018-08-24 10:17:37,0.06,128.11,19.52,47.3
Flower power 63B0,PI040298AD5I210900,2018-08-24 10:32:37,0.06,76.37,19.4,43.64
Flower power 63B0,PI040298AD5I210900,2018-08-24 10:47:37,0.06,152.21,19.4,47.47
Flower power 63B0,PI040298AD5I210900,2018-08-24 11:02:37,0.06,114.22,19.65,39.85
Flower power 63B0,PI040298AD5I210900,2018-08-24 11:17:37,0.06,118.23,19.4,39.65
Flower power 63B0,PI040298AD5I210900,2018-08-24 11:32:37,0.06,159.3,19.14,47.47
Flower power 63B0,PI040298AD5I210900,2018-08-24 11:47:37,0.06,101.11,19.27,41.21
Flower power 63B0,PI040298AD5I210900,2018-08-24 12:02:37,0.06,117.41,19.52,42.52
Flower power 63B0,PI040298AD5I210900,2018-08-24 12:17:37,0.06,136.36,19.01,45.33
Flower power 63B0,PI040298AD5I210900,2018-08-24 12:32:37,0.06,168.7,19.01,48.14
Flower power 63B0,PI040298AD5I210900,2018-08-24 12:47:37,0.06,156.39,19.14,47.08
Flower power 63B0,PI040298AD5I210900,2018-08-24 13:02:37,0.06,138.58,19.01,43.8
Flower power 63B0,PI040298AD5I210900,2018-08-24 13:17:37,0.06,172.08,19.26,48.89
Flower power 63B0,PI040298AD5I210900,2018-08-24 13:32:37,0.06,146.96,18.75,44.85
Flower power 63B0,PI040298AD5I210900,2018-08-24 13:47:37,0.06,165.45,18.75,47.58
Flower power 63B0,PI040298AD5I210900,2018-08-24 14:02:37,0.06,137.46,18.88,45.22
Flower power 63B0,PI040298AD5I210900,2018-08-24 14:17:37,0.06,156.39,18.75,47.41
Flower power 63B0,PI040298AD5I210900,2018-08-24 14:32:37,0.06,150.86,18.62,45.33
Flower power 63B0,PI040298AD5I210900,2018-08-24 14:47:37,0.06,145.71,18.75,44.53
