NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5EC4,PI040298AD5I212917,2018-08-21 18:03:33,-1.0,31.17,10.29,37.57
Flower power 5EC4,PI040298AD5I212917,2018-08-21 18:18:33,-1.0,24.02,10.29,36.73
Flower power 5EC4,PI040298AD5I212917,2018-08-21 18:33:33,-1.0,15.68,10.67,34.59
Flower power 5EC4,PI040298AD5I212917,2018-08-21 18:48:33,-1.0,7.35,10.8,31.43
Flower power 5EC4,PI040298AD5I212917,2018-08-21 19:03:33,-1.0,2.62,10.55,28.51
Flower power 5EC4,PI040298AD5I212917,2018-08-21 19:18:33,-1.0,0.66,10.55,26.69
Flower power 5EC4,PI040298AD5I212917,2018-08-21 19:33:33,-1.0,0.1,10.93,26.06
Flower power 5EC4,PI040298AD5I212917,2018-08-21 19:48:33,-1.0,0.1,11.06,25.52
Flower power 5EC4,PI040298AD5I212917,2018-08-21 20:03:33,-1.0,0.1,10.8,25.16
Flower power 5EC4,PI040298AD5I212917,2018-08-21 20:18:33,-1.0,0.1,10.93,24.66
Flower power 5EC4,PI040298AD5I212917,2018-08-21 20:33:33,-1.0,0.1,11.06,24.57
Flower power 5EC4,PI040298AD5I212917,2018-08-21 20:48:33,-1.0,0.1,10.8,24.02
Flower power 5EC4,PI040298AD5I212917,2018-08-21 21:03:33,-1.0,0.1,11.06,23.93
Flower power 5EC4,PI040298AD5I212917,2018-08-21 21:18:33,-1.0,0.1,10.67,24.2
Flower power 5EC4,PI040298AD5I212917,2018-08-21 21:33:33,-1.0,0.1,11.06,24.06
Flower power 5EC4,PI040298AD5I212917,2018-08-21 21:48:33,-1.0,0.1,10.8,23.97
Flower power 5EC4,PI040298AD5I212917,2018-08-21 22:03:33,-1.0,0.1,11.06,23.97
Flower power 5EC4,PI040298AD5I212917,2018-08-21 22:18:33,-1.0,0.1,10.8,23.65
Flower power 5EC4,PI040298AD5I212917,2018-08-21 22:33:33,-1.0,0.1,11.06,24.06
Flower power 5EC4,PI040298AD5I212917,2018-08-21 22:48:33,-1.0,0.1,10.93,23.51
Flower power 5EC4,PI040298AD5I212917,2018-08-21 23:03:33,-1.0,0.1,10.93,22.96
Flower power 5EC4,PI040298AD5I212917,2018-08-21 23:18:33,-1.0,0.1,11.06,22.86
Flower power 5EC4,PI040298AD5I212917,2018-08-21 23:33:33,-1.0,0.1,10.67,22.77
Flower power 5EC4,PI040298AD5I212917,2018-08-21 23:48:33,-1.0,0.1,10.93,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-22 00:03:33,-1.0,0.1,11.31,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-22 00:18:33,-1.0,0.1,10.8,22.16
Flower power 5EC4,PI040298AD5I212917,2018-08-22 00:33:33,-1.0,0.1,11.06,22.77
Flower power 5EC4,PI040298AD5I212917,2018-08-22 00:48:33,-1.0,0.1,10.93,22.07
Flower power 5EC4,PI040298AD5I212917,2018-08-22 01:03:33,-1.0,0.1,11.06,21.12
Flower power 5EC4,PI040298AD5I212917,2018-08-22 01:18:33,-1.0,0.1,11.06,19.18
Flower power 5EC4,PI040298AD5I212917,2018-08-22 01:33:33,-1.0,0.1,10.93,18.64
Flower power 5EC4,PI040298AD5I212917,2018-08-22 01:48:33,-1.0,0.1,11.06,18.34
Flower power 5EC4,PI040298AD5I212917,2018-08-22 02:03:33,-1.0,0.1,11.06,18.08
Flower power 5EC4,PI040298AD5I212917,2018-08-22 02:18:33,-1.0,0.1,10.67,17.68
Flower power 5EC4,PI040298AD5I212917,2018-08-22 02:33:33,-1.0,0.1,11.31,17.53
Flower power 5EC4,PI040298AD5I212917,2018-08-22 02:48:33,-1.0,0.1,11.31,17.58
Flower power 5EC4,PI040298AD5I212917,2018-08-22 03:03:33,-1.0,0.1,11.06,17.53
Flower power 5EC4,PI040298AD5I212917,2018-08-22 03:18:33,-1.0,0.1,10.93,17.17
Flower power 5EC4,PI040298AD5I212917,2018-08-22 03:33:33,-1.0,0.1,11.06,17.32
Flower power 5EC4,PI040298AD5I212917,2018-08-22 03:48:33,-1.0,0.1,10.8,16.86
Flower power 5EC4,PI040298AD5I212917,2018-08-22 04:03:33,-1.0,0.1,11.06,16.76
Flower power 5EC4,PI040298AD5I212917,2018-08-22 04:18:33,-1.0,0.1,10.8,16.4
Flower power 5EC4,PI040298AD5I212917,2018-08-22 04:33:33,-1.0,0.1,11.06,16.66
Flower power 5EC4,PI040298AD5I212917,2018-08-22 04:48:33,-1.0,0.1,11.18,16.4
Flower power 5EC4,PI040298AD5I212917,2018-08-22 05:03:33,-1.0,0.1,11.06,17.17
Flower power 5EC4,PI040298AD5I212917,2018-08-22 05:18:33,-1.0,0.1,11.06,18.29
Flower power 5EC4,PI040298AD5I212917,2018-08-22 05:33:33,-1.0,0.1,11.06,18.24
Flower power 5EC4,PI040298AD5I212917,2018-08-22 05:48:33,-1.0,0.16,11.18,18.34
Flower power 5EC4,PI040298AD5I212917,2018-08-22 06:03:33,-1.0,1.15,11.18,18.03
Flower power 5EC4,PI040298AD5I212917,2018-08-22 06:18:33,-1.0,3.15,10.8,19.82
Flower power 5EC4,PI040298AD5I212917,2018-08-22 06:33:33,-1.0,5.9,10.93,19.92
Flower power 5EC4,PI040298AD5I212917,2018-08-22 06:48:33,-1.0,8.91,11.18,20.98
Flower power 5EC4,PI040298AD5I212917,2018-08-22 07:03:33,-1.0,10.77,11.06,21.93
Flower power 5EC4,PI040298AD5I212917,2018-08-22 07:18:33,-1.0,12.79,11.06,22.91
Flower power 5EC4,PI040298AD5I212917,2018-08-22 07:33:33,-1.0,14.4,11.06,23.97
Flower power 5EC4,PI040298AD5I212917,2018-08-22 07:48:33,-1.0,16.09,11.18,25.16
Flower power 5EC4,PI040298AD5I212917,2018-08-22 08:03:33,-1.0,18.0,10.93,26.42
Flower power 5EC4,PI040298AD5I212917,2018-08-22 08:18:33,-1.0,19.71,11.31,27.62
Flower power 5EC4,PI040298AD5I212917,2018-08-22 08:33:33,-1.0,21.68,10.93,28.82
Flower power 5EC4,PI040298AD5I212917,2018-08-22 08:48:33,-1.0,23.49,11.31,29.92
Flower power 5EC4,PI040298AD5I212917,2018-08-22 09:03:33,-1.0,24.86,10.8,31.47
Flower power 5EC4,PI040298AD5I212917,2018-08-22 09:18:33,-1.0,41.57,10.67,32.71
Flower power 5EC4,PI040298AD5I212917,2018-08-22 09:33:33,-1.0,94.52,11.31,44.27
Flower power 5EC4,PI040298AD5I212917,2018-08-22 09:48:33,-1.0,103.81,11.06,49.88
Flower power 5EC4,PI040298AD5I212917,2018-08-22 10:03:33,-1.0,113.94,11.06,52.99
Flower power 5EC4,PI040298AD5I212917,2018-08-22 10:18:33,-1.0,120.99,11.18,53.94
Flower power 5EC4,PI040298AD5I212917,2018-08-22 10:33:33,-1.0,127.55,10.8,52.74
Flower power 5EC4,PI040298AD5I212917,2018-08-22 10:48:33,-1.0,133.31,11.31,54.72
Flower power 5EC4,PI040298AD5I212917,2018-08-22 11:03:33,-1.0,137.98,11.18,54.65
Flower power 5EC4,PI040298AD5I212917,2018-08-22 11:18:33,-1.0,141.27,11.06,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-22 11:33:33,-1.0,146.5,11.18,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-22 11:48:33,-1.0,148.33,11.18,54.78
Flower power 5EC4,PI040298AD5I212917,2018-08-22 12:03:33,-1.0,152.13,11.06,54.52
Flower power 5EC4,PI040298AD5I212917,2018-08-22 12:18:33,-1.0,154.1,10.67,54.65
Flower power 5EC4,PI040298AD5I212917,2018-08-22 12:33:33,-1.0,156.11,10.93,53.18
Flower power 5EC4,PI040298AD5I212917,2018-08-22 12:48:33,-1.0,156.11,10.93,52.42
Flower power 5EC4,PI040298AD5I212917,2018-08-22 13:03:33,-1.0,156.11,11.06,52.3
Flower power 5EC4,PI040298AD5I212917,2018-08-22 13:18:33,-1.0,154.1,11.18,52.61
Flower power 5EC4,PI040298AD5I212917,2018-08-22 13:33:33,-1.0,154.1,11.18,52.11
Flower power 5EC4,PI040298AD5I212917,2018-08-22 13:48:33,-1.0,152.13,11.18,51.99
Flower power 5EC4,PI040298AD5I212917,2018-08-22 14:03:33,-1.0,148.33,11.18,51.32
Flower power 5EC4,PI040298AD5I212917,2018-08-22 14:18:33,-1.0,144.72,11.44,52.74
Flower power 5EC4,PI040298AD5I212917,2018-08-22 14:33:33,-1.0,141.27,11.31,52.24
Flower power 5EC4,PI040298AD5I212917,2018-08-22 14:48:33,-1.0,136.39,11.18,51.87
Flower power 5EC4,PI040298AD5I212917,2018-08-22 15:03:33,-1.0,131.83,11.18,51.62
Flower power 5EC4,PI040298AD5I212917,2018-08-22 15:18:33,-1.0,124.85,10.93,50.3
Flower power 5EC4,PI040298AD5I212917,2018-08-22 15:33:33,-1.0,118.55,10.93,49.3
Flower power 5EC4,PI040298AD5I212917,2018-08-22 15:48:33,-1.0,107.65,11.44,47.64
Flower power 5EC4,PI040298AD5I212917,2018-08-22 16:03:33,-1.0,44.95,11.18,42.57
Flower power 5EC4,PI040298AD5I212917,2018-08-22 16:18:33,-1.0,91.53,11.18,45.98
Flower power 5EC4,PI040298AD5I212917,2018-08-22 16:33:33,-1.0,83.57,11.31,45.28
Flower power 5EC4,PI040298AD5I212917,2018-08-22 16:48:33,-1.0,75.34,11.31,45.01
Flower power 5EC4,PI040298AD5I212917,2018-08-22 17:03:33,-1.0,66.93,11.18,44.32
Flower power 5EC4,PI040298AD5I212917,2018-08-22 17:18:33,-1.0,54.89,11.06,38.74
Flower power 5EC4,PI040298AD5I212917,2018-08-22 17:33:33,-1.0,47.24,11.57,38.55
Flower power 5EC4,PI040298AD5I212917,2018-08-22 17:48:33,-1.0,33.78,11.18,36.73
Flower power 5EC4,PI040298AD5I212917,2018-08-22 18:03:33,-1.0,17.46,11.06,31.78
Flower power 5EC4,PI040298AD5I212917,2018-08-22 18:18:33,-1.0,17.49,11.18,30.98
Flower power 5EC4,PI040298AD5I212917,2018-08-22 18:33:33,-1.0,9.68,10.93,29.88
Flower power 5EC4,PI040298AD5I212917,2018-08-22 18:48:33,-1.0,6.16,11.06,29.22
Flower power 5EC4,PI040298AD5I212917,2018-08-22 19:03:33,-1.0,2.37,11.06,27.0
Flower power 5EC4,PI040298AD5I212917,2018-08-22 19:18:33,-1.0,0.54,11.44,25.7
Flower power 5EC4,PI040298AD5I212917,2018-08-22 19:33:33,-1.0,0.1,11.06,24.66
Flower power 5EC4,PI040298AD5I212917,2018-08-22 19:48:33,-1.0,0.1,11.18,23.88
Flower power 5EC4,PI040298AD5I212917,2018-08-22 20:03:33,-1.0,0.1,11.57,23.74
Flower power 5EC4,PI040298AD5I212917,2018-08-22 20:18:33,-1.0,0.1,11.31,23.42
Flower power 5EC4,PI040298AD5I212917,2018-08-22 20:33:33,-1.0,0.1,11.18,23.28
Flower power 5EC4,PI040298AD5I212917,2018-08-22 20:48:33,-1.0,0.1,11.06,22.86
Flower power 5EC4,PI040298AD5I212917,2018-08-22 21:03:33,-1.0,0.1,11.44,23.1
Flower power 5EC4,PI040298AD5I212917,2018-08-22 21:18:33,-1.0,0.1,10.8,22.96
Flower power 5EC4,PI040298AD5I212917,2018-08-22 21:33:33,-1.0,0.1,11.44,22.44
Flower power 5EC4,PI040298AD5I212917,2018-08-22 21:48:33,-1.0,0.1,11.06,22.02
Flower power 5EC4,PI040298AD5I212917,2018-08-22 22:03:33,-1.0,0.1,10.8,21.41
Flower power 5EC4,PI040298AD5I212917,2018-08-22 22:18:33,-1.0,0.1,11.44,21.31
Flower power 5EC4,PI040298AD5I212917,2018-08-22 22:33:33,-1.0,0.1,11.31,21.93
Flower power 5EC4,PI040298AD5I212917,2018-08-22 22:48:33,-1.0,0.1,10.93,21.83
Flower power 5EC4,PI040298AD5I212917,2018-08-22 23:03:33,-1.0,0.1,11.31,22.02
Flower power 5EC4,PI040298AD5I212917,2018-08-22 23:18:33,-1.0,0.1,11.06,22.07
Flower power 5EC4,PI040298AD5I212917,2018-08-22 23:33:33,-1.0,0.1,11.31,21.88
Flower power 5EC4,PI040298AD5I212917,2018-08-22 23:48:33,-1.0,0.1,11.18,22.02
Flower power 5EC4,PI040298AD5I212917,2018-08-23 00:03:33,-1.0,0.1,10.93,22.07
Flower power 5EC4,PI040298AD5I212917,2018-08-23 00:18:33,-1.0,0.1,11.18,21.64
Flower power 5EC4,PI040298AD5I212917,2018-08-23 00:33:33,-1.0,0.1,10.8,22.12
Flower power 5EC4,PI040298AD5I212917,2018-08-23 00:48:33,-1.0,0.1,10.8,21.93
Flower power 5EC4,PI040298AD5I212917,2018-08-23 01:03:33,-1.0,0.1,10.93,21.79
Flower power 5EC4,PI040298AD5I212917,2018-08-23 01:18:33,-1.0,0.1,10.8,21.36
Flower power 5EC4,PI040298AD5I212917,2018-08-23 01:33:33,-1.0,0.1,10.93,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-23 01:48:33,-1.0,0.1,11.18,22.35
Flower power 5EC4,PI040298AD5I212917,2018-08-23 02:03:33,-1.0,0.1,11.44,22.54
Flower power 5EC4,PI040298AD5I212917,2018-08-23 02:18:33,-1.0,0.1,11.44,21.88
Flower power 5EC4,PI040298AD5I212917,2018-08-23 02:33:33,-1.0,0.1,10.93,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-23 02:48:33,-1.0,0.1,11.44,19.62
Flower power 5EC4,PI040298AD5I212917,2018-08-23 03:03:33,-1.0,0.1,10.8,18.34
Flower power 5EC4,PI040298AD5I212917,2018-08-23 03:18:33,-1.0,0.1,11.18,18.13
Flower power 5EC4,PI040298AD5I212917,2018-08-23 03:33:33,-1.0,0.1,10.93,17.93
Flower power 5EC4,PI040298AD5I212917,2018-08-23 03:48:33,-1.0,0.1,11.06,18.69
Flower power 5EC4,PI040298AD5I212917,2018-08-23 04:03:33,-1.0,0.1,11.18,17.93
Flower power 5EC4,PI040298AD5I212917,2018-08-23 04:18:33,-1.0,0.1,11.06,17.48
Flower power 5EC4,PI040298AD5I212917,2018-08-23 04:33:33,-1.0,0.1,11.06,17.73
Flower power 5EC4,PI040298AD5I212917,2018-08-23 04:48:33,-1.0,0.1,11.31,16.97
Flower power 5EC4,PI040298AD5I212917,2018-08-23 05:03:33,-1.0,0.1,10.93,17.83
Flower power 5EC4,PI040298AD5I212917,2018-08-23 05:18:33,-1.0,0.1,10.93,17.83
Flower power 5EC4,PI040298AD5I212917,2018-08-23 05:33:33,-1.0,0.1,10.67,17.32
Flower power 5EC4,PI040298AD5I212917,2018-08-23 05:48:33,-1.0,0.13,11.18,17.12
Flower power 5EC4,PI040298AD5I212917,2018-08-23 06:03:33,-1.0,0.99,10.8,18.24
Flower power 5EC4,PI040298AD5I212917,2018-08-23 06:18:33,-1.0,2.75,10.93,18.64
Flower power 5EC4,PI040298AD5I212917,2018-08-23 06:33:33,-1.0,5.4,10.67,19.92
Flower power 5EC4,PI040298AD5I212917,2018-08-23 06:48:33,-1.0,8.36,10.67,21.22
Flower power 5EC4,PI040298AD5I212917,2018-08-23 07:03:33,-1.0,10.72,10.8,21.64
Flower power 5EC4,PI040298AD5I212917,2018-08-23 07:18:33,-1.0,12.88,11.06,22.63
Flower power 5EC4,PI040298AD5I212917,2018-08-23 07:33:33,-1.0,14.73,10.67,23.56
Flower power 5EC4,PI040298AD5I212917,2018-08-23 07:48:33,-1.0,16.6,10.67,24.57
Flower power 5EC4,PI040298AD5I212917,2018-08-23 08:02:36,-1.0,18.47,11.06,25.74
Flower power 5EC4,PI040298AD5I212917,2018-08-23 08:17:36,-1.0,20.39,10.67,26.86
Flower power 5EC4,PI040298AD5I212917,2018-08-23 08:32:36,-1.0,22.69,10.67,28.11
Flower power 5EC4,PI040298AD5I212917,2018-08-23 08:47:36,-1.0,25.03,11.06,29.44
Flower power 5EC4,PI040298AD5I212917,2018-08-23 09:02:36,-1.0,26.51,10.8,31.73
Flower power 5EC4,PI040298AD5I212917,2018-08-23 09:17:36,-1.0,43.2,11.06,33.29
Flower power 5EC4,PI040298AD5I212917,2018-08-23 09:32:36,-1.0,91.53,11.06,45.71
Flower power 5EC4,PI040298AD5I212917,2018-08-23 09:47:36,-1.0,100.23,11.06,49.88
Flower power 5EC4,PI040298AD5I212917,2018-08-23 10:02:36,-1.0,108.65,10.67,50.53
Flower power 5EC4,PI040298AD5I212917,2018-08-23 10:17:36,-1.0,117.36,10.67,53.24
Flower power 5EC4,PI040298AD5I212917,2018-08-23 10:32:36,-1.0,124.85,10.8,53.81
Flower power 5EC4,PI040298AD5I212917,2018-08-23 10:47:36,-1.0,130.37,11.06,54.65
Flower power 5EC4,PI040298AD5I212917,2018-08-23 11:02:36,-1.0,136.39,11.06,54.39
Flower power 5EC4,PI040298AD5I212917,2018-08-23 11:17:36,-1.0,139.61,11.18,54.85
Flower power 5EC4,PI040298AD5I212917,2018-08-23 11:32:36,-1.0,141.27,11.18,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 11:47:36,-1.0,146.5,10.93,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 12:02:36,-1.0,150.21,11.06,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 12:17:36,-1.0,152.13,11.18,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 12:32:36,-1.0,150.21,10.93,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 12:47:36,-1.0,150.21,11.18,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 13:02:36,-1.0,152.13,11.31,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 13:17:36,-1.0,150.21,11.31,55.0
Flower power 5EC4,PI040298AD5I212917,2018-08-23 13:32:36,-1.0,150.21,11.31,54.07
Flower power 5EC4,PI040298AD5I212917,2018-08-23 13:47:36,-1.0,148.33,11.31,52.36
Flower power 5EC4,PI040298AD5I212917,2018-08-23 14:02:36,-1.0,144.72,11.18,48.66
Flower power 5EC4,PI040298AD5I212917,2018-08-23 14:17:36,-1.0,142.98,11.31,45.28
Flower power 5EC4,PI040298AD5I212917,2018-08-23 14:32:36,-1.0,139.61,11.44,43.96
Flower power 5EC4,PI040298AD5I212917,2018-08-23 14:47:36,-1.0,134.84,11.31,46.14
Flower power 5EC4,PI040298AD5I212917,2018-08-23 15:02:36,-1.0,128.95,11.06,46.69
Flower power 5EC4,PI040298AD5I212917,2018-08-23 15:17:36,-1.0,123.54,11.44,46.47
Flower power 5EC4,PI040298AD5I212917,2018-08-23 15:32:36,-1.0,117.36,11.18,46.36
Flower power 5EC4,PI040298AD5I212917,2018-08-23 15:47:36,-1.0,108.65,11.57,46.74
Flower power 5EC4,PI040298AD5I212917,2018-08-23 16:02:36,-1.0,100.23,11.06,45.92
Flower power 5EC4,PI040298AD5I212917,2018-08-23 16:17:36,-1.0,93.0,11.31,44.37
Flower power 5EC4,PI040298AD5I212917,2018-08-23 16:32:36,-1.0,83.57,11.31,44.06
Flower power 5EC4,PI040298AD5I212917,2018-08-23 16:47:36,-1.0,75.84,11.18,43.33
Flower power 5EC4,PI040298AD5I212917,2018-08-23 17:02:36,-1.0,68.96,11.57,42.52
Flower power 5EC4,PI040298AD5I212917,2018-08-23 17:17:36,-1.0,60.49,11.06,39.89
Flower power 5EC4,PI040298AD5I212917,2018-08-23 17:32:36,-1.0,51.13,11.57,38.46
Flower power 5EC4,PI040298AD5I212917,2018-08-23 17:47:36,-1.0,42.53,11.31,36.46
Flower power 5EC4,PI040298AD5I212917,2018-08-23 18:02:36,-1.0,33.26,11.31,35.36
Flower power 5EC4,PI040298AD5I212917,2018-08-23 18:17:36,-1.0,23.7,11.18,34.5
Flower power 5EC4,PI040298AD5I212917,2018-08-23 18:32:36,-1.0,14.71,11.44,32.4
Flower power 5EC4,PI040298AD5I212917,2018-08-23 18:47:36,-1.0,6.72,11.44,29.7
Flower power 5EC4,PI040298AD5I212917,2018-08-23 19:02:36,-1.0,2.32,11.44,27.18
Flower power 5EC4,PI040298AD5I212917,2018-08-23 19:17:36,-1.0,0.47,11.31,25.88
Flower power 5EC4,PI040298AD5I212917,2018-08-23 19:32:36,-1.0,0.1,11.44,25.2
Flower power 5EC4,PI040298AD5I212917,2018-08-23 19:47:36,-1.0,0.1,11.31,23.93
Flower power 5EC4,PI040298AD5I212917,2018-08-23 20:02:36,-1.0,0.1,11.31,23.7
Flower power 5EC4,PI040298AD5I212917,2018-08-23 20:17:36,-1.0,0.1,11.44,23.7
Flower power 5EC4,PI040298AD5I212917,2018-08-23 20:32:36,-1.0,0.1,11.44,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-23 20:47:36,-1.0,0.1,11.44,23.33
Flower power 5EC4,PI040298AD5I212917,2018-08-23 21:02:36,-1.0,0.1,11.18,23.51
Flower power 5EC4,PI040298AD5I212917,2018-08-23 21:17:36,-1.0,0.1,11.31,24.84
Flower power 5EC4,PI040298AD5I212917,2018-08-23 21:32:36,-1.0,0.1,11.18,25.02
Flower power 5EC4,PI040298AD5I212917,2018-08-23 21:47:36,-1.0,0.1,11.44,25.56
Flower power 5EC4,PI040298AD5I212917,2018-08-23 22:02:36,-1.0,0.1,11.18,25.7
Flower power 5EC4,PI040298AD5I212917,2018-08-23 22:17:36,-1.0,0.1,11.57,25.34
Flower power 5EC4,PI040298AD5I212917,2018-08-23 22:32:36,-1.0,0.1,11.44,25.11
Flower power 5EC4,PI040298AD5I212917,2018-08-23 22:47:36,-1.0,0.1,11.06,24.38
Flower power 5EC4,PI040298AD5I212917,2018-08-23 23:02:36,-1.0,0.1,11.44,24.66
Flower power 5EC4,PI040298AD5I212917,2018-08-23 23:17:36,-1.0,0.1,11.44,24.48
Flower power 5EC4,PI040298AD5I212917,2018-08-23 23:32:36,-1.0,0.1,11.18,23.97
Flower power 5EC4,PI040298AD5I212917,2018-08-23 23:47:36,-1.0,0.1,11.57,23.74
Flower power 5EC4,PI040298AD5I212917,2018-08-24 00:02:36,-1.0,0.1,11.18,23.7
Flower power 5EC4,PI040298AD5I212917,2018-08-24 00:17:36,-1.0,0.1,11.06,23.33
Flower power 5EC4,PI040298AD5I212917,2018-08-24 00:32:36,-1.0,0.1,11.31,23.51
Flower power 5EC4,PI040298AD5I212917,2018-08-24 00:47:36,-1.0,0.1,11.06,23.83
Flower power 5EC4,PI040298AD5I212917,2018-08-24 01:02:36,-1.0,0.1,11.06,23.37
Flower power 5EC4,PI040298AD5I212917,2018-08-24 01:17:36,-1.0,0.1,10.93,23.93
Flower power 5EC4,PI040298AD5I212917,2018-08-24 01:32:36,-1.0,0.1,11.31,23.0
Flower power 5EC4,PI040298AD5I212917,2018-08-24 01:47:36,-1.0,0.1,11.31,22.91
Flower power 5EC4,PI040298AD5I212917,2018-08-24 02:02:36,-1.0,0.1,11.44,22.54
Flower power 5EC4,PI040298AD5I212917,2018-08-24 02:17:36,-1.0,0.1,11.06,22.21
Flower power 5EC4,PI040298AD5I212917,2018-08-24 02:32:36,-1.0,0.1,11.44,22.4
Flower power 5EC4,PI040298AD5I212917,2018-08-24 02:47:36,-1.0,0.1,11.31,22.77
Flower power 5EC4,PI040298AD5I212917,2018-08-24 03:02:36,-1.0,0.1,11.31,23.05
Flower power 5EC4,PI040298AD5I212917,2018-08-24 03:17:36,-1.0,0.1,11.06,22.72
Flower power 5EC4,PI040298AD5I212917,2018-08-24 03:32:36,-1.0,0.1,10.93,22.77
Flower power 5EC4,PI040298AD5I212917,2018-08-24 03:47:36,-1.0,0.1,11.06,22.49
Flower power 5EC4,PI040298AD5I212917,2018-08-24 04:02:36,-1.0,0.1,11.18,22.44
Flower power 5EC4,PI040298AD5I212917,2018-08-24 04:17:36,-1.0,0.1,10.93,22.12
Flower power 5EC4,PI040298AD5I212917,2018-08-24 04:32:36,-1.0,0.1,10.8,22.12
Flower power 5EC4,PI040298AD5I212917,2018-08-24 04:47:36,-1.0,0.1,11.18,21.6
Flower power 5EC4,PI040298AD5I212917,2018-08-24 05:02:36,-1.0,0.1,11.31,21.83
Flower power 5EC4,PI040298AD5I212917,2018-08-24 05:17:36,-1.0,0.1,11.18,21.97
Flower power 5EC4,PI040298AD5I212917,2018-08-24 05:32:36,-1.0,0.1,11.44,22.12
Flower power 5EC4,PI040298AD5I212917,2018-08-24 05:47:36,-1.0,0.1,11.44,22.02
Flower power 5EC4,PI040298AD5I212917,2018-08-24 06:02:36,-1.0,0.97,11.06,22.12
Flower power 5EC4,PI040298AD5I212917,2018-08-24 06:17:36,-1.0,2.74,11.31,22.3
Flower power 5EC4,PI040298AD5I212917,2018-08-24 06:32:36,-1.0,4.83,11.18,21.97
Flower power 5EC4,PI040298AD5I212917,2018-08-24 06:47:36,-1.0,6.84,10.93,22.58
Flower power 5EC4,PI040298AD5I212917,2018-08-24 07:02:36,-1.0,10.07,11.18,22.77
Flower power 5EC4,PI040298AD5I212917,2018-08-24 07:17:36,-1.0,11.58,10.93,23.42
Flower power 5EC4,PI040298AD5I212917,2018-08-24 07:32:36,-1.0,13.87,11.44,23.65
Flower power 5EC4,PI040298AD5I212917,2018-08-24 07:47:36,-1.0,15.83,11.06,24.7
Flower power 5EC4,PI040298AD5I212917,2018-08-24 08:02:36,-1.0,17.46,11.31,25.92
Flower power 5EC4,PI040298AD5I212917,2018-08-24 08:17:36,-1.0,19.31,10.8,27.04
Flower power 5EC4,PI040298AD5I212917,2018-08-24 08:32:36,-1.0,21.68,10.8,28.29
Flower power 5EC4,PI040298AD5I212917,2018-08-24 08:47:36,-1.0,25.26,11.06,29.08
Flower power 5EC4,PI040298AD5I212917,2018-08-24 09:02:36,-1.0,27.18,11.44,30.41
Flower power 5EC4,PI040298AD5I212917,2018-08-24 09:17:36,-1.0,33.78,11.31,31.82
Flower power 5EC4,PI040298AD5I212917,2018-08-24 09:32:36,-1.0,90.1,11.44,39.99
Flower power 5EC4,PI040298AD5I212917,2018-08-24 09:47:36,-1.0,110.71,11.18,45.44
Flower power 5EC4,PI040298AD5I212917,2018-08-24 10:02:36,-1.0,120.99,11.31,49.3
Flower power 5EC4,PI040298AD5I212917,2018-08-24 10:17:36,-1.0,126.18,10.93,52.05
Flower power 5EC4,PI040298AD5I212917,2018-08-24 10:32:36,-1.0,77.37,11.18,47.41
Flower power 5EC4,PI040298AD5I212917,2018-08-24 10:47:36,-1.0,150.21,11.06,51.38
Flower power 5EC4,PI040298AD5I212917,2018-08-24 11:02:36,-1.0,113.94,11.31,42.97
Flower power 5EC4,PI040298AD5I212917,2018-08-24 11:17:36,-1.0,111.76,11.18,42.52
Flower power 5EC4,PI040298AD5I212917,2018-08-24 11:32:36,-1.0,154.1,11.06,50.83
Flower power 5EC4,PI040298AD5I212917,2018-08-24 11:47:36,-1.0,94.52,11.31,44.64
Flower power 5EC4,PI040298AD5I212917,2018-08-24 12:02:36,-1.0,112.84,11.44,44.64
Flower power 5EC4,PI040298AD5I212917,2018-08-24 12:17:36,-1.0,130.37,11.44,47.52
Flower power 5EC4,PI040298AD5I212917,2018-08-24 12:32:36,-1.0,162.49,11.44,51.5
Flower power 5EC4,PI040298AD5I212917,2018-08-24 12:47:36,-1.0,152.13,11.31,50.06
Flower power 5EC4,PI040298AD5I212917,2018-08-24 13:02:36,-1.0,133.31,11.44,47.02
Flower power 5EC4,PI040298AD5I212917,2018-08-24 13:17:36,-1.0,164.73,11.44,52.24
Flower power 5EC4,PI040298AD5I212917,2018-08-24 13:32:36,-1.0,137.98,11.06,47.47
Flower power 5EC4,PI040298AD5I212917,2018-08-24 13:47:36,-1.0,156.11,11.31,50.65
Flower power 5EC4,PI040298AD5I212917,2018-08-24 14:02:36,-1.0,136.39,11.44,48.89
