NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6A22,PI040298AD5I208350,2018-08-22 15:31:15,-1.0,18.36,9.98,34.23
Flower power 6A22,PI040298AD5I208350,2018-08-22 15:46:15,-1.0,17.51,9.46,34.01
Flower power 6A22,PI040298AD5I208350,2018-08-22 16:01:15,-1.0,22.54,9.59,33.96
Flower power 6A22,PI040298AD5I208350,2018-08-22 16:16:15,-1.0,23.15,9.59,33.92
Flower power 6A22,PI040298AD5I208350,2018-08-22 16:31:15,-1.0,21.69,9.33,34.5
Flower power 6A22,PI040298AD5I208350,2018-08-22 16:46:15,-1.0,7.95,3.63,32.44
Flower power 6A22,PI040298AD5I208350,2018-08-22 17:01:15,-1.0,7.44,3.97,30.76
Flower power 6A22,PI040298AD5I208350,2018-08-22 17:16:15,-1.0,6.71,4.08,30.19
Flower power 6A22,PI040298AD5I208350,2018-08-22 17:31:11,-1.0,5.82,4.2,29.61
Flower power 6A22,PI040298AD5I208350,2018-08-22 17:46:11,-1.0,5.07,4.2,28.82
Flower power 6A22,PI040298AD5I208350,2018-08-22 18:01:11,-1.0,4.66,4.08,28.42
Flower power 6A22,PI040298AD5I208350,2018-08-22 18:16:11,-1.0,3.05,3.97,27.67
Flower power 6A22,PI040298AD5I208350,2018-08-22 18:31:11,-1.0,2.31,4.08,26.78
Flower power 6A22,PI040298AD5I208350,2018-08-22 18:46:11,-1.0,1.83,4.08,26.6
Flower power 6A22,PI040298AD5I208350,2018-08-22 19:01:11,-1.0,1.02,4.2,26.19
Flower power 6A22,PI040298AD5I208350,2018-08-22 19:16:11,-1.0,0.31,4.2,25.74
Flower power 6A22,PI040298AD5I208350,2018-08-22 19:31:11,-1.0,0.1,4.2,25.34
Flower power 6A22,PI040298AD5I208350,2018-08-22 19:46:11,-1.0,0.1,3.97,24.93
Flower power 6A22,PI040298AD5I208350,2018-08-22 20:01:11,-1.0,0.1,3.85,24.52
Flower power 6A22,PI040298AD5I208350,2018-08-22 20:16:11,-1.0,0.1,3.97,24.11
Flower power 6A22,PI040298AD5I208350,2018-08-22 20:31:11,-1.0,0.1,4.2,23.83
Flower power 6A22,PI040298AD5I208350,2018-08-22 20:46:11,-1.0,0.1,3.85,23.65
Flower power 6A22,PI040298AD5I208350,2018-08-22 21:01:11,-1.0,0.1,3.97,23.33
Flower power 6A22,PI040298AD5I208350,2018-08-22 21:16:11,-1.0,0.1,3.74,23.14
Flower power 6A22,PI040298AD5I208350,2018-08-22 21:31:11,-1.0,0.1,4.31,23.0
Flower power 6A22,PI040298AD5I208350,2018-08-22 21:46:11,-1.0,0.1,3.97,22.96
Flower power 6A22,PI040298AD5I208350,2018-08-22 22:01:11,-1.0,0.1,4.2,23.0
Flower power 6A22,PI040298AD5I208350,2018-08-22 22:16:11,-1.0,0.1,4.43,23.05
Flower power 6A22,PI040298AD5I208350,2018-08-22 22:31:11,-1.0,0.1,4.31,23.0
Flower power 6A22,PI040298AD5I208350,2018-08-22 22:46:11,-1.0,0.1,4.2,23.05
Flower power 6A22,PI040298AD5I208350,2018-08-22 23:01:11,-1.0,0.1,4.2,23.24
Flower power 6A22,PI040298AD5I208350,2018-08-22 23:16:11,-1.0,0.1,4.31,24.43
Flower power 6A22,PI040298AD5I208350,2018-08-22 23:31:11,-1.0,0.1,4.2,23.88
Flower power 6A22,PI040298AD5I208350,2018-08-22 23:46:11,-1.0,0.1,4.31,23.42
Flower power 6A22,PI040298AD5I208350,2018-08-23 00:01:11,-1.0,0.1,3.74,23.0
Flower power 6A22,PI040298AD5I208350,2018-08-23 00:16:11,-1.0,0.1,3.74,23.0
Flower power 6A22,PI040298AD5I208350,2018-08-23 00:31:11,-1.0,0.1,4.31,23.1
Flower power 6A22,PI040298AD5I208350,2018-08-23 00:46:11,-1.0,0.1,3.97,22.91
Flower power 6A22,PI040298AD5I208350,2018-08-23 01:01:11,-1.0,0.1,3.97,22.86
Flower power 6A22,PI040298AD5I208350,2018-08-23 01:16:11,-1.0,0.1,4.08,22.96
Flower power 6A22,PI040298AD5I208350,2018-08-23 01:31:11,-1.0,0.1,4.2,23.33
Flower power 6A22,PI040298AD5I208350,2018-08-23 01:46:11,-1.0,0.1,3.85,23.28
Flower power 6A22,PI040298AD5I208350,2018-08-23 02:01:11,-1.0,0.1,4.08,23.19
Flower power 6A22,PI040298AD5I208350,2018-08-23 02:16:11,-1.0,0.1,3.74,22.91
Flower power 6A22,PI040298AD5I208350,2018-08-23 02:31:11,-1.0,0.1,4.31,22.63
Flower power 6A22,PI040298AD5I208350,2018-08-23 02:46:11,-1.0,0.1,3.85,22.72
Flower power 6A22,PI040298AD5I208350,2018-08-23 03:01:11,-1.0,0.1,4.31,22.49
Flower power 6A22,PI040298AD5I208350,2018-08-23 03:16:11,-1.0,0.1,4.08,22.3
Flower power 6A22,PI040298AD5I208350,2018-08-23 03:31:11,-1.0,0.1,4.31,22.02
Flower power 6A22,PI040298AD5I208350,2018-08-23 03:46:11,-1.0,0.1,3.74,22.16
Flower power 6A22,PI040298AD5I208350,2018-08-23 04:01:11,-1.0,0.1,4.08,22.16
Flower power 6A22,PI040298AD5I208350,2018-08-23 04:16:11,-1.0,0.1,4.08,22.16
Flower power 6A22,PI040298AD5I208350,2018-08-23 04:31:11,-1.0,0.1,4.31,21.79
Flower power 6A22,PI040298AD5I208350,2018-08-23 04:46:11,-1.0,0.1,3.97,21.6
Flower power 6A22,PI040298AD5I208350,2018-08-23 05:01:11,-1.0,0.1,4.31,21.55
Flower power 6A22,PI040298AD5I208350,2018-08-23 05:16:11,-1.0,0.1,3.97,21.45
Flower power 6A22,PI040298AD5I208350,2018-08-23 05:31:11,-1.0,0.1,4.2,21.22
Flower power 6A22,PI040298AD5I208350,2018-08-23 05:46:11,-1.0,0.1,3.74,21.03
Flower power 6A22,PI040298AD5I208350,2018-08-23 06:01:11,-1.0,0.51,4.08,20.79
Flower power 6A22,PI040298AD5I208350,2018-08-23 06:16:11,-1.0,1.72,4.2,20.69
Flower power 6A22,PI040298AD5I208350,2018-08-23 06:31:11,-1.0,4.13,4.43,20.93
Flower power 6A22,PI040298AD5I208350,2018-08-23 06:46:11,-1.0,7.86,4.2,21.17
Flower power 6A22,PI040298AD5I208350,2018-08-23 07:01:11,-1.0,19.82,4.08,23.88
Flower power 6A22,PI040298AD5I208350,2018-08-23 07:16:11,-1.0,38.09,3.97,27.4
Flower power 6A22,PI040298AD5I208350,2018-08-23 07:31:11,-1.0,50.19,3.63,30.81
Flower power 6A22,PI040298AD5I208350,2018-08-23 07:46:11,-1.0,61.52,4.2,32.58
Flower power 6A22,PI040298AD5I208350,2018-08-23 08:01:11,-1.0,71.51,3.97,35.45
Flower power 6A22,PI040298AD5I208350,2018-08-23 08:16:11,-1.0,78.06,3.74,36.82
Flower power 6A22,PI040298AD5I208350,2018-08-23 08:31:11,-1.0,74.9,4.08,38.22
Flower power 6A22,PI040298AD5I208350,2018-08-23 08:46:11,-1.0,90.76,4.2,41.41
Flower power 6A22,PI040298AD5I208350,2018-08-23 09:01:11,-1.0,84.58,3.63,43.96
Flower power 6A22,PI040298AD5I208350,2018-08-23 09:16:11,-1.0,80.32,4.08,46.3
Flower power 6A22,PI040298AD5I208350,2018-08-23 09:31:11,-1.0,109.24,3.85,49.65
Flower power 6A22,PI040298AD5I208350,2018-08-23 09:46:11,-1.0,115.93,3.74,49.53
Flower power 6A22,PI040298AD5I208350,2018-08-23 10:01:11,-1.0,119.59,3.63,45.71
Flower power 6A22,PI040298AD5I208350,2018-08-23 10:16:11,-1.0,123.47,3.51,46.14
Flower power 6A22,PI040298AD5I208350,2018-08-23 10:31:11,-1.0,115.93,3.85,48.54
Flower power 6A22,PI040298AD5I208350,2018-08-23 10:46:11,-1.0,87.22,3.74,48.6
Flower power 6A22,PI040298AD5I208350,2018-08-23 11:01:11,-1.0,132.03,3.85,46.41
Flower power 6A22,PI040298AD5I208350,2018-08-23 11:16:11,-1.0,80.9,3.85,43.49
Flower power 6A22,PI040298AD5I208350,2018-08-23 11:31:11,-1.0,32.7,3.97,38.74
Flower power 6A22,PI040298AD5I208350,2018-08-23 11:46:11,-1.0,29.75,3.97,37.06
Flower power 6A22,PI040298AD5I208350,2018-08-23 12:01:11,-1.0,27.13,3.4,38.79
Flower power 6A22,PI040298AD5I208350,2018-08-23 12:16:11,-1.0,23.9,3.74,37.94
Flower power 6A22,PI040298AD5I208350,2018-08-23 12:31:11,-1.0,127.61,3.97,43.8
Flower power 6A22,PI040298AD5I208350,2018-08-23 12:46:11,-1.0,20.94,3.51,40.38
Flower power 6A22,PI040298AD5I208350,2018-08-23 13:01:01,-1.0,18.43,3.63,35.95
Flower power 6A22,PI040298AD5I208350,2018-08-23 13:16:01,-1.0,17.16,3.63,35.36
Flower power 6A22,PI040298AD5I208350,2018-08-23 13:31:01,-1.0,15.97,3.85,34.64
Flower power 6A22,PI040298AD5I208350,2018-08-23 13:46:01,-1.0,15.02,4.08,34.1
Flower power 6A22,PI040298AD5I208350,2018-08-23 14:01:01,-1.0,14.24,3.63,34.1
Flower power 6A22,PI040298AD5I208350,2018-08-23 14:16:01,-1.0,13.37,4.08,33.92
Flower power 6A22,PI040298AD5I208350,2018-08-23 14:31:01,-1.0,12.68,3.97,34.32
Flower power 6A22,PI040298AD5I208350,2018-08-23 14:46:01,-1.0,11.25,3.85,33.78
Flower power 6A22,PI040298AD5I208350,2018-08-23 15:01:01,-1.0,10.39,3.4,33.29
Flower power 6A22,PI040298AD5I208350,2018-08-23 15:16:01,-1.0,9.91,3.63,32.93
Flower power 6A22,PI040298AD5I208350,2018-08-23 15:31:01,-1.0,9.45,3.63,32.53
Flower power 6A22,PI040298AD5I208350,2018-08-23 15:46:01,-1.0,8.91,3.74,32.36
Flower power 6A22,PI040298AD5I208350,2018-08-23 16:01:01,-1.0,8.62,3.97,31.6
Flower power 6A22,PI040298AD5I208350,2018-08-23 16:16:01,-1.0,8.34,3.63,31.07
Flower power 6A22,PI040298AD5I208350,2018-08-23 16:31:01,-1.0,7.94,3.51,30.81
Flower power 6A22,PI040298AD5I208350,2018-08-23 16:46:01,-1.0,7.6,4.08,30.72
Flower power 6A22,PI040298AD5I208350,2018-08-23 17:01:01,-1.0,7.22,3.85,30.41
Flower power 6A22,PI040298AD5I208350,2018-08-23 17:16:01,-1.0,6.76,3.63,29.79
Flower power 6A22,PI040298AD5I208350,2018-08-23 17:31:01,-1.0,6.21,3.85,29.53
Flower power 6A22,PI040298AD5I208350,2018-08-23 17:46:01,-1.0,5.58,3.63,29.26
Flower power 6A22,PI040298AD5I208350,2018-08-23 18:01:01,-1.0,4.71,3.85,28.73
Flower power 6A22,PI040298AD5I208350,2018-08-23 18:16:01,-1.0,3.86,4.08,28.07
Flower power 6A22,PI040298AD5I208350,2018-08-23 18:31:01,-1.0,3.03,3.97,27.67
Flower power 6A22,PI040298AD5I208350,2018-08-23 18:46:01,-1.0,2.05,3.97,27.18
Flower power 6A22,PI040298AD5I208350,2018-08-23 19:01:01,-1.0,1.04,3.97,26.64
Flower power 6A22,PI040298AD5I208350,2018-08-23 19:16:01,-1.0,0.27,3.97,26.06
Flower power 6A22,PI040298AD5I208350,2018-08-23 19:31:01,-1.0,0.1,3.63,25.52
Flower power 6A22,PI040298AD5I208350,2018-08-23 19:46:01,-1.0,0.1,4.08,25.25
Flower power 6A22,PI040298AD5I208350,2018-08-23 20:01:01,-1.0,0.1,3.85,25.02
Flower power 6A22,PI040298AD5I208350,2018-08-23 20:16:01,-1.0,0.1,3.85,24.79
Flower power 6A22,PI040298AD5I208350,2018-08-23 20:31:01,-1.0,0.1,3.97,24.93
Flower power 6A22,PI040298AD5I208350,2018-08-23 20:46:01,-1.0,0.1,3.97,24.84
Flower power 6A22,PI040298AD5I208350,2018-08-23 21:01:01,-1.0,0.1,3.51,24.61
Flower power 6A22,PI040298AD5I208350,2018-08-23 21:16:01,-1.0,0.1,3.63,24.43
Flower power 6A22,PI040298AD5I208350,2018-08-23 21:31:01,-1.0,0.1,3.63,24.38
Flower power 6A22,PI040298AD5I208350,2018-08-23 21:46:01,-1.0,0.1,3.97,24.25
Flower power 6A22,PI040298AD5I208350,2018-08-23 22:01:01,-1.0,0.1,3.85,24.29
Flower power 6A22,PI040298AD5I208350,2018-08-23 22:16:01,-1.0,0.1,3.74,24.11
Flower power 6A22,PI040298AD5I208350,2018-08-23 22:31:01,-1.0,0.1,3.63,23.65
Flower power 6A22,PI040298AD5I208350,2018-08-23 22:46:01,-1.0,0.1,3.85,23.24
Flower power 6A22,PI040298AD5I208350,2018-08-23 23:01:01,-1.0,0.1,3.63,23.05
Flower power 6A22,PI040298AD5I208350,2018-08-23 23:16:01,-1.0,0.1,4.08,22.86
Flower power 6A22,PI040298AD5I208350,2018-08-23 23:31:01,-1.0,0.1,3.85,22.77
Flower power 6A22,PI040298AD5I208350,2018-08-23 23:46:01,-1.0,0.1,3.85,22.58
Flower power 6A22,PI040298AD5I208350,2018-08-24 00:01:01,-1.0,0.1,3.97,22.44
Flower power 6A22,PI040298AD5I208350,2018-08-24 00:16:01,-1.0,0.1,3.97,22.35
Flower power 6A22,PI040298AD5I208350,2018-08-24 00:31:01,-1.0,0.1,3.63,22.16
Flower power 6A22,PI040298AD5I208350,2018-08-24 00:46:01,-1.0,0.1,3.51,21.88
Flower power 6A22,PI040298AD5I208350,2018-08-24 01:01:01,-1.0,0.1,3.97,21.74
Flower power 6A22,PI040298AD5I208350,2018-08-24 01:16:01,-1.0,0.1,3.74,21.88
Flower power 6A22,PI040298AD5I208350,2018-08-24 01:31:01,-1.0,0.1,3.74,21.74
Flower power 6A22,PI040298AD5I208350,2018-08-24 01:46:01,-1.0,0.1,3.63,21.6
Flower power 6A22,PI040298AD5I208350,2018-08-24 02:01:01,-1.0,0.1,4.08,21.5
Flower power 6A22,PI040298AD5I208350,2018-08-24 02:16:01,-1.0,0.1,3.97,21.22
Flower power 6A22,PI040298AD5I208350,2018-08-24 02:31:01,-1.0,0.1,3.97,21.17
Flower power 6A22,PI040298AD5I208350,2018-08-24 02:46:01,-1.0,0.1,3.63,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-24 03:01:01,-1.0,0.1,3.74,20.98
Flower power 6A22,PI040298AD5I208350,2018-08-24 03:16:01,-1.0,0.1,3.97,20.83
Flower power 6A22,PI040298AD5I208350,2018-08-24 03:31:01,-1.0,0.1,3.97,20.64
Flower power 6A22,PI040298AD5I208350,2018-08-24 03:46:01,-1.0,0.1,3.97,20.59
Flower power 6A22,PI040298AD5I208350,2018-08-24 04:01:01,-1.0,0.1,4.08,20.5
Flower power 6A22,PI040298AD5I208350,2018-08-24 04:16:01,-1.0,0.1,3.97,20.55
Flower power 6A22,PI040298AD5I208350,2018-08-24 04:31:01,-1.0,0.1,3.63,20.4
Flower power 6A22,PI040298AD5I208350,2018-08-24 04:46:01,-1.0,0.1,3.85,20.16
Flower power 6A22,PI040298AD5I208350,2018-08-24 05:01:01,-1.0,0.1,3.74,19.87
Flower power 6A22,PI040298AD5I208350,2018-08-24 05:16:01,-1.0,0.1,3.63,19.96
Flower power 6A22,PI040298AD5I208350,2018-08-24 05:31:01,-1.0,0.1,4.08,19.82
Flower power 6A22,PI040298AD5I208350,2018-08-24 05:46:01,-1.0,0.1,4.08,19.77
Flower power 6A22,PI040298AD5I208350,2018-08-24 06:01:01,-1.0,0.49,3.97,19.57
Flower power 6A22,PI040298AD5I208350,2018-08-24 06:16:01,-1.0,1.71,3.63,19.53
Flower power 6A22,PI040298AD5I208350,2018-08-24 06:31:01,-1.0,3.37,3.63,19.62
Flower power 6A22,PI040298AD5I208350,2018-08-24 06:46:01,-1.0,6.63,4.08,19.82
Flower power 6A22,PI040298AD5I208350,2018-08-24 07:01:01,-1.0,18.23,3.85,23.42
Flower power 6A22,PI040298AD5I208350,2018-08-24 07:16:01,-1.0,29.49,3.63,25.65
Flower power 6A22,PI040298AD5I208350,2018-08-24 07:31:01,-1.0,52.88,3.85,31.16
Flower power 6A22,PI040298AD5I208350,2018-08-24 07:46:01,-1.0,65.56,3.74,34.95
Flower power 6A22,PI040298AD5I208350,2018-08-24 08:01:01,-1.0,76.98,3.85,36.09
Flower power 6A22,PI040298AD5I208350,2018-08-24 08:16:01,-1.0,84.58,3.74,36.64
Flower power 6A22,PI040298AD5I208350,2018-08-24 08:31:01,-1.0,82.7,3.85,36.41
Flower power 6A22,PI040298AD5I208350,2018-08-24 08:46:01,-1.0,97.03,3.97,39.46
Flower power 6A22,PI040298AD5I208350,2018-08-24 09:01:01,-1.0,86.55,3.74,36.82
Flower power 6A22,PI040298AD5I208350,2018-08-24 09:16:01,-1.0,75.41,3.74,39.12
Flower power 6A22,PI040298AD5I208350,2018-08-24 09:31:01,-1.0,83.32,3.97,39.51
Flower power 6A22,PI040298AD5I208350,2018-08-24 09:46:01,-1.0,86.55,3.74,40.67
Flower power 6A22,PI040298AD5I208350,2018-08-24 10:01:01,-1.0,78.61,3.97,37.24
Flower power 6A22,PI040298AD5I208350,2018-08-24 10:16:01,-1.0,48.61,3.63,34.36
Flower power 6A22,PI040298AD5I208350,2018-08-24 10:31:01,-1.0,109.24,3.97,39.7
Flower power 6A22,PI040298AD5I208350,2018-08-24 10:46:01,-1.0,95.39,3.51,38.79
Flower power 6A22,PI040298AD5I208350,2018-08-24 11:01:01,-1.0,126.2,3.63,38.04
Flower power 6A22,PI040298AD5I208350,2018-08-24 11:16:01,-1.0,53.93,3.74,33.33
Flower power 6A22,PI040298AD5I208350,2018-08-24 11:31:01,-1.0,38.78,3.85,33.6
Flower power 6A22,PI040298AD5I208350,2018-08-24 11:46:01,-1.0,38.09,3.85,32.0
Flower power 6A22,PI040298AD5I208350,2018-08-24 12:01:01,-1.0,37.03,3.4,32.4
Flower power 6A22,PI040298AD5I208350,2018-08-24 12:16:01,-1.0,30.61,3.63,31.91
Flower power 6A22,PI040298AD5I208350,2018-08-24 12:31:01,-1.0,108.19,3.85,35.91
Flower power 6A22,PI040298AD5I208350,2018-08-24 12:46:01,-1.0,22.84,3.4,32.71
Flower power 6A22,PI040298AD5I208350,2018-08-24 13:01:01,-1.0,20.36,3.74,29.48
Flower power 6A22,PI040298AD5I208350,2018-08-24 13:16:01,-1.0,20.73,3.4,29.08
Flower power 6A22,PI040298AD5I208350,2018-08-24 13:31:01,-1.0,19.59,3.51,29.92
Flower power 6A22,PI040298AD5I208350,2018-08-24 13:46:01,-1.0,19.66,3.97,28.73
Flower power 6A22,PI040298AD5I208350,2018-08-24 14:01:01,-1.0,16.05,3.74,28.15
Flower power 6A22,PI040298AD5I208350,2018-08-24 14:16:01,-1.0,14.12,3.85,28.11
Flower power 6A22,PI040298AD5I208350,2018-08-24 14:31:01,-1.0,12.97,3.63,27.76
Flower power 6A22,PI040298AD5I208350,2018-08-24 14:46:01,-1.0,11.22,3.85,27.22
Flower power 6A22,PI040298AD5I208350,2018-08-24 15:01:01,-1.0,10.22,3.51,26.73
Flower power 6A22,PI040298AD5I208350,2018-08-24 15:16:01,-1.0,9.72,3.51,26.6
Flower power 6A22,PI040298AD5I208350,2018-08-24 15:31:01,-1.0,9.25,3.63,26.73
Flower power 6A22,PI040298AD5I208350,2018-08-24 15:46:01,-1.0,8.91,3.51,26.01
Flower power 6A22,PI040298AD5I208350,2018-08-24 16:01:01,-1.0,8.61,3.63,25.34
Flower power 6A22,PI040298AD5I208350,2018-08-24 16:16:01,-1.0,8.29,3.85,25.07
Flower power 6A22,PI040298AD5I208350,2018-08-24 16:31:01,-1.0,7.96,4.08,24.93
Flower power 6A22,PI040298AD5I208350,2018-08-24 16:46:01,-1.0,7.53,3.63,24.61
Flower power 6A22,PI040298AD5I208350,2018-08-24 17:01:01,-1.0,7.11,3.74,24.52
Flower power 6A22,PI040298AD5I208350,2018-08-24 17:16:01,-1.0,6.69,3.63,24.11
Flower power 6A22,PI040298AD5I208350,2018-08-24 17:31:01,-1.0,6.16,3.63,23.47
Flower power 6A22,PI040298AD5I208350,2018-08-24 17:46:01,-1.0,5.56,3.74,23.05
Flower power 6A22,PI040298AD5I208350,2018-08-24 18:01:01,-1.0,4.68,4.08,22.68
Flower power 6A22,PI040298AD5I208350,2018-08-24 18:16:01,-1.0,3.84,3.85,22.4
Flower power 6A22,PI040298AD5I208350,2018-08-24 18:31:01,-1.0,2.99,4.08,22.16
Flower power 6A22,PI040298AD5I208350,2018-08-24 18:46:01,-1.0,2.0,3.74,21.97
Flower power 6A22,PI040298AD5I208350,2018-08-24 19:01:01,-1.0,0.97,3.74,21.5
Flower power 6A22,PI040298AD5I208350,2018-08-24 19:16:01,-1.0,0.24,4.08,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-24 19:31:01,-1.0,0.1,4.08,20.74
Flower power 6A22,PI040298AD5I208350,2018-08-24 19:46:01,-1.0,0.1,3.97,20.55
Flower power 6A22,PI040298AD5I208350,2018-08-24 20:01:01,-1.0,0.1,4.08,20.55
Flower power 6A22,PI040298AD5I208350,2018-08-24 20:16:01,-1.0,0.1,3.51,20.69
Flower power 6A22,PI040298AD5I208350,2018-08-24 20:31:01,-1.0,0.1,3.85,20.83
Flower power 6A22,PI040298AD5I208350,2018-08-24 20:46:01,-1.0,0.1,3.97,20.93
Flower power 6A22,PI040298AD5I208350,2018-08-24 21:01:01,-1.0,0.1,4.08,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-24 21:16:01,-1.0,0.1,3.85,21.17
Flower power 6A22,PI040298AD5I208350,2018-08-24 21:31:01,-1.0,0.1,3.85,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-24 21:46:01,-1.0,0.1,4.08,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-24 22:01:01,-1.0,0.1,4.08,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-24 22:16:01,-1.0,0.1,3.63,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-24 22:31:01,-1.0,0.1,4.08,21.03
Flower power 6A22,PI040298AD5I208350,2018-08-24 22:46:01,-1.0,0.1,3.63,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-24 23:01:01,-1.0,0.1,3.85,21.22
Flower power 6A22,PI040298AD5I208350,2018-08-24 23:16:01,-1.0,0.1,3.63,21.41
Flower power 6A22,PI040298AD5I208350,2018-08-24 23:31:01,-1.0,0.1,3.63,21.22
Flower power 6A22,PI040298AD5I208350,2018-08-24 23:46:01,-1.0,0.1,4.2,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-25 00:01:01,-1.0,0.1,3.85,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-25 00:16:01,-1.0,0.1,3.85,21.17
Flower power 6A22,PI040298AD5I208350,2018-08-25 00:31:01,-1.0,0.1,3.63,21.36
Flower power 6A22,PI040298AD5I208350,2018-08-25 00:46:01,-1.0,0.1,3.74,21.45
Flower power 6A22,PI040298AD5I208350,2018-08-25 01:01:01,-1.0,0.1,3.97,21.45
Flower power 6A22,PI040298AD5I208350,2018-08-25 01:16:01,-1.0,0.1,4.08,21.55
Flower power 6A22,PI040298AD5I208350,2018-08-25 01:31:01,-1.0,0.1,3.63,21.69
Flower power 6A22,PI040298AD5I208350,2018-08-25 01:46:01,-1.0,0.1,3.74,21.6
Flower power 6A22,PI040298AD5I208350,2018-08-25 02:01:01,-1.0,0.1,3.74,21.64
Flower power 6A22,PI040298AD5I208350,2018-08-25 02:16:01,-1.0,0.1,3.97,21.55
Flower power 6A22,PI040298AD5I208350,2018-08-25 02:31:01,-1.0,0.1,3.74,21.6
Flower power 6A22,PI040298AD5I208350,2018-08-25 02:46:01,-1.0,0.1,3.85,21.45
Flower power 6A22,PI040298AD5I208350,2018-08-25 03:01:01,-1.0,0.1,3.74,21.36
Flower power 6A22,PI040298AD5I208350,2018-08-25 03:16:01,-1.0,0.1,3.63,21.36
Flower power 6A22,PI040298AD5I208350,2018-08-25 03:31:01,-1.0,0.1,3.97,21.31
Flower power 6A22,PI040298AD5I208350,2018-08-25 03:46:01,-1.0,0.1,3.85,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-25 04:01:01,-1.0,0.1,3.51,21.03
Flower power 6A22,PI040298AD5I208350,2018-08-25 04:16:01,-1.0,0.1,3.63,20.98
Flower power 6A22,PI040298AD5I208350,2018-08-25 04:31:01,-1.0,0.1,3.85,20.93
Flower power 6A22,PI040298AD5I208350,2018-08-25 04:46:01,-1.0,0.1,3.85,20.93
Flower power 6A22,PI040298AD5I208350,2018-08-25 05:01:01,-1.0,0.1,4.08,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-25 05:16:01,-1.0,0.1,3.63,21.07
Flower power 6A22,PI040298AD5I208350,2018-08-25 05:31:01,-1.0,0.1,3.74,21.03
Flower power 6A22,PI040298AD5I208350,2018-08-25 05:46:01,-1.0,0.1,3.85,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-25 06:01:01,-1.0,0.46,3.4,21.12
Flower power 6A22,PI040298AD5I208350,2018-08-25 06:16:01,-1.0,1.81,3.85,21.22
Flower power 6A22,PI040298AD5I208350,2018-08-25 06:31:01,-1.0,4.2,3.85,21.6
Flower power 6A22,PI040298AD5I208350,2018-08-25 06:46:01,-1.0,7.56,3.63,22.26
Flower power 6A22,PI040298AD5I208350,2018-08-25 07:01:01,-1.0,17.97,3.85,25.47
Flower power 6A22,PI040298AD5I208350,2018-08-25 07:16:01,-1.0,39.36,3.97,30.54
Flower power 6A22,PI040298AD5I208350,2018-08-25 07:31:01,-1.0,50.42,3.51,34.01
Flower power 6A22,PI040298AD5I208350,2018-08-25 07:46:01,-1.0,55.86,3.4,35.54
Flower power 6A22,PI040298AD5I208350,2018-08-25 08:01:01,-1.0,67.57,3.51,38.74
Flower power 6A22,PI040298AD5I208350,2018-08-25 08:16:01,-1.0,79.74,3.29,42.42
Flower power 6A22,PI040298AD5I208350,2018-08-25 08:31:01,-1.0,85.88,3.63,43.28
Flower power 6A22,PI040298AD5I208350,2018-08-25 08:46:01,-1.0,92.25,3.4,45.76
Flower power 6A22,PI040298AD5I208350,2018-08-25 09:01:01,-1.0,83.95,3.63,45.01
Flower power 6A22,PI040298AD5I208350,2018-08-25 09:16:01,-1.0,67.99,3.63,46.03
Flower power 6A22,PI040298AD5I208350,2018-08-25 09:31:01,-1.0,111.38,3.4,46.09
Flower power 6A22,PI040298AD5I208350,2018-08-25 09:46:01,-1.0,118.34,3.29,46.58
Flower power 6A22,PI040298AD5I208350,2018-08-25 10:01:01,-1.0,123.47,3.18,49.65
Flower power 6A22,PI040298AD5I208350,2018-08-25 10:16:01,-1.0,94.58,3.29,45.22
Flower power 6A22,PI040298AD5I208350,2018-08-25 10:31:01,-1.0,130.53,3.4,45.71
Flower power 6A22,PI040298AD5I208350,2018-08-25 10:46:01,-1.0,130.53,3.51,47.13
Flower power 6A22,PI040298AD5I208350,2018-08-25 11:01:01,-1.0,127.61,3.63,41.46
Flower power 6A22,PI040298AD5I208350,2018-08-25 11:16:01,-1.0,33.31,3.74,38.84
Flower power 6A22,PI040298AD5I208350,2018-08-25 11:31:01,-1.0,31.91,3.29,35.95
Flower power 6A22,PI040298AD5I208350,2018-08-25 11:46:01,-1.0,26.58,3.18,36.18
Flower power 6A22,PI040298AD5I208350,2018-08-25 12:01:01,-1.0,27.2,3.63,35.22
Flower power 6A22,PI040298AD5I208350,2018-08-25 12:16:01,-1.0,21.25,3.4,34.32
Flower power 6A22,PI040298AD5I208350,2018-08-25 12:31:01,-1.0,126.2,3.63,39.17
Flower power 6A22,PI040298AD5I208350,2018-08-25 12:46:01,-1.0,18.49,3.63,35.68
Flower power 6A22,PI040298AD5I208350,2018-08-25 13:01:01,-1.0,17.04,3.63,32.22
