NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6E45,PI040298AD5I209922,2018-08-17 12:34:50,-1.0,81.53,14.87,43.39
Flower power 6E45,PI040298AD5I209922,2018-08-17 12:49:50,-1.0,129.93,15.0,46.14
Flower power 6E45,PI040298AD5I209922,2018-08-17 13:04:50,-1.0,33.08,14.62,43.96
Flower power 6E45,PI040298AD5I209922,2018-08-17 13:19:50,-1.0,51.02,14.74,43.39
Flower power 6E45,PI040298AD5I209922,2018-08-17 13:34:50,-1.0,91.57,14.74,41.96
Flower power 6E45,PI040298AD5I209922,2018-08-17 13:49:50,-1.0,105.37,14.87,44.69
Flower power 6E45,PI040298AD5I209922,2018-08-17 14:04:50,-1.0,85.55,14.62,47.47
Flower power 6E45,PI040298AD5I209922,2018-08-17 14:19:50,-1.0,65.48,14.62,46.36
Flower power 6E45,PI040298AD5I209922,2018-08-17 14:34:50,-1.0,93.2,14.87,50.18
Flower power 6E45,PI040298AD5I209922,2018-08-17 14:49:50,-1.0,101.31,15.13,50.47
Flower power 6E45,PI040298AD5I209922,2018-08-17 15:04:50,-1.0,94.04,14.62,47.86
Flower power 6E45,PI040298AD5I209922,2018-08-17 15:19:50,-1.0,86.26,14.62,45.06
Flower power 6E45,PI040298AD5I209922,2018-08-17 15:34:50,-1.0,56.11,14.74,42.26
Flower power 6E45,PI040298AD5I209922,2018-08-17 15:49:50,-1.0,23.01,14.74,39.56
Flower power 6E45,PI040298AD5I209922,2018-08-17 16:04:50,-1.0,40.03,15.0,37.71
Flower power 6E45,PI040298AD5I209922,2018-08-17 16:19:50,-1.0,21.09,14.74,36.27
Flower power 6E45,PI040298AD5I209922,2018-08-17 16:34:50,-1.0,16.94,14.87,34.82
Flower power 6E45,PI040298AD5I209922,2018-08-17 16:49:50,-1.0,17.37,14.87,34.41
Flower power 6E45,PI040298AD5I209922,2018-08-17 17:04:50,-1.0,17.56,14.49,35.5
Flower power 6E45,PI040298AD5I209922,2018-08-17 17:19:50,-1.0,13.26,15.0,32.8
Flower power 6E45,PI040298AD5I209922,2018-08-17 17:34:50,-1.0,11.3,15.0,28.46
Flower power 6E45,PI040298AD5I209922,2018-08-17 17:49:50,-1.0,15.73,14.49,29.66
Flower power 6E45,PI040298AD5I209922,2018-08-17 18:04:50,-1.0,10.12,14.36,28.29
Flower power 6E45,PI040298AD5I209922,2018-08-17 18:19:50,-1.0,11.4,14.36,28.42
Flower power 6E45,PI040298AD5I209922,2018-08-17 18:34:50,-1.0,11.27,14.87,28.11
Flower power 6E45,PI040298AD5I209922,2018-08-17 18:49:50,-1.0,4.45,14.49,26.01
Flower power 6E45,PI040298AD5I209922,2018-08-17 19:04:50,-1.0,1.92,14.74,24.57
Flower power 6E45,PI040298AD5I209922,2018-08-17 19:19:50,-1.0,0.54,14.74,23.65
Flower power 6E45,PI040298AD5I209922,2018-08-17 19:34:50,-1.0,0.1,14.23,23.0
Flower power 6E45,PI040298AD5I209922,2018-08-17 19:49:50,-1.0,0.1,14.74,22.44
Flower power 6E45,PI040298AD5I209922,2018-08-17 20:04:50,-1.0,0.1,14.62,21.88
Flower power 6E45,PI040298AD5I209922,2018-08-17 20:19:50,-1.0,0.1,14.62,21.6
Flower power 6E45,PI040298AD5I209922,2018-08-17 20:34:50,-1.0,0.1,14.36,21.22
Flower power 6E45,PI040298AD5I209922,2018-08-17 20:49:50,-1.0,0.1,14.87,21.12
Flower power 6E45,PI040298AD5I209922,2018-08-17 21:04:50,-1.0,0.1,14.74,21.36
Flower power 6E45,PI040298AD5I209922,2018-08-17 21:19:50,-1.0,0.1,14.74,21.22
Flower power 6E45,PI040298AD5I209922,2018-08-17 21:34:50,-1.0,0.1,14.62,21.17
Flower power 6E45,PI040298AD5I209922,2018-08-17 21:49:50,-1.0,0.1,14.23,20.93
Flower power 6E45,PI040298AD5I209922,2018-08-17 22:04:50,-1.0,0.1,14.62,20.79
Flower power 6E45,PI040298AD5I209922,2018-08-17 22:19:50,-1.0,0.1,14.1,20.69
Flower power 6E45,PI040298AD5I209922,2018-08-17 22:34:50,-1.0,0.1,14.49,20.3
Flower power 6E45,PI040298AD5I209922,2018-08-17 22:49:50,-1.0,0.1,14.49,20.01
Flower power 6E45,PI040298AD5I209922,2018-08-17 23:04:50,-1.0,0.1,14.23,20.11
Flower power 6E45,PI040298AD5I209922,2018-08-17 23:19:50,-1.0,0.1,14.36,19.82
Flower power 6E45,PI040298AD5I209922,2018-08-17 23:34:50,-1.0,0.1,14.1,19.03
Flower power 6E45,PI040298AD5I209922,2018-08-17 23:49:50,-1.0,0.1,14.49,19.48
Flower power 6E45,PI040298AD5I209922,2018-08-18 00:04:50,-1.0,0.1,14.1,19.77
Flower power 6E45,PI040298AD5I209922,2018-08-18 00:19:50,-1.0,0.1,14.49,19.72
Flower power 6E45,PI040298AD5I209922,2018-08-18 00:34:50,-1.0,0.1,14.23,18.93
Flower power 6E45,PI040298AD5I209922,2018-08-18 00:49:50,-1.0,0.1,14.23,18.34
Flower power 6E45,PI040298AD5I209922,2018-08-18 01:04:50,-1.0,0.1,14.36,18.39
Flower power 6E45,PI040298AD5I209922,2018-08-18 01:19:50,-1.0,0.1,14.23,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-18 01:34:50,-1.0,0.1,14.36,19.08
Flower power 6E45,PI040298AD5I209922,2018-08-18 01:49:50,-1.0,0.1,14.1,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-18 02:04:50,-1.0,0.1,14.36,19.08
Flower power 6E45,PI040298AD5I209922,2018-08-18 02:19:50,-1.0,0.1,14.49,19.13
Flower power 6E45,PI040298AD5I209922,2018-08-18 02:34:50,-1.0,0.1,13.97,17.88
Flower power 6E45,PI040298AD5I209922,2018-08-18 02:49:50,-1.0,0.1,14.36,17.73
Flower power 6E45,PI040298AD5I209922,2018-08-18 03:04:50,-1.0,0.1,14.49,18.24
Flower power 6E45,PI040298AD5I209922,2018-08-18 03:19:50,-1.0,0.1,14.36,18.74
Flower power 6E45,PI040298AD5I209922,2018-08-18 03:34:50,-1.0,0.1,14.49,17.68
Flower power 6E45,PI040298AD5I209922,2018-08-18 03:49:50,-1.0,0.1,14.49,17.48
Flower power 6E45,PI040298AD5I209922,2018-08-18 04:04:50,-1.0,0.1,14.36,17.27
Flower power 6E45,PI040298AD5I209922,2018-08-18 04:19:50,-1.0,0.1,14.23,17.73
Flower power 6E45,PI040298AD5I209922,2018-08-18 04:34:50,-1.0,0.1,14.36,17.48
Flower power 6E45,PI040298AD5I209922,2018-08-18 04:49:50,-1.0,0.1,14.1,16.81
Flower power 6E45,PI040298AD5I209922,2018-08-18 05:04:50,-1.0,0.1,13.97,16.97
Flower power 6E45,PI040298AD5I209922,2018-08-18 05:19:50,-1.0,0.1,14.62,17.68
Flower power 6E45,PI040298AD5I209922,2018-08-18 05:34:50,-1.0,0.1,14.1,17.02
Flower power 6E45,PI040298AD5I209922,2018-08-18 05:49:50,-1.0,0.22,14.36,17.17
Flower power 6E45,PI040298AD5I209922,2018-08-18 06:04:50,-1.0,1.09,14.49,17.12
Flower power 6E45,PI040298AD5I209922,2018-08-18 06:19:50,-1.0,2.53,14.1,18.13
Flower power 6E45,PI040298AD5I209922,2018-08-18 06:34:50,-1.0,4.1,14.23,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-18 06:49:50,-1.0,5.52,14.62,20.11
Flower power 6E45,PI040298AD5I209922,2018-08-18 07:04:50,-1.0,8.14,14.49,21.64
Flower power 6E45,PI040298AD5I209922,2018-08-18 07:19:50,-1.0,7.69,14.23,22.54
Flower power 6E45,PI040298AD5I209922,2018-08-18 07:34:50,-1.0,8.47,14.23,24.02
Flower power 6E45,PI040298AD5I209922,2018-08-18 07:49:50,-1.0,9.29,14.23,25.16
Flower power 6E45,PI040298AD5I209922,2018-08-18 08:04:50,-1.0,10.24,14.36,26.1
Flower power 6E45,PI040298AD5I209922,2018-08-18 08:19:50,-1.0,15.62,14.23,27.53
Flower power 6E45,PI040298AD5I209922,2018-08-18 08:34:50,-1.0,16.38,14.1,29.53
Flower power 6E45,PI040298AD5I209922,2018-08-18 08:49:50,-1.0,20.64,14.49,31.25
Flower power 6E45,PI040298AD5I209922,2018-08-18 09:04:50,-1.0,24.77,14.1,32.49
Flower power 6E45,PI040298AD5I209922,2018-08-18 09:19:50,-1.0,30.32,14.36,32.09
Flower power 6E45,PI040298AD5I209922,2018-08-18 09:34:50,-1.0,49.77,14.49,34.77
Flower power 6E45,PI040298AD5I209922,2018-08-18 09:49:50,-1.0,61.91,14.62,37.52
Flower power 6E45,PI040298AD5I209922,2018-08-18 10:04:50,-1.0,95.76,14.49,41.02
Flower power 6E45,PI040298AD5I209922,2018-08-18 10:19:50,-1.0,75.58,14.62,43.96
Flower power 6E45,PI040298AD5I209922,2018-08-18 10:34:50,-1.0,94.89,14.23,45.92
Flower power 6E45,PI040298AD5I209922,2018-08-18 10:49:50,-1.0,114.51,14.74,46.69
Flower power 6E45,PI040298AD5I209922,2018-08-18 11:04:50,-1.0,117.04,14.62,47.8
Flower power 6E45,PI040298AD5I209922,2018-08-18 11:19:50,-1.0,118.35,14.87,48.72
Flower power 6E45,PI040298AD5I209922,2018-08-18 11:34:50,-1.0,123.88,14.49,49.47
Flower power 6E45,PI040298AD5I209922,2018-08-18 11:49:50,-1.0,122.45,14.62,51.26
Flower power 6E45,PI040298AD5I209922,2018-08-18 12:04:50,-1.0,103.3,14.49,49.47
Flower power 6E45,PI040298AD5I209922,2018-08-18 12:19:50,-1.0,89.22,15.0,49.18
Flower power 6E45,PI040298AD5I209922,2018-08-18 12:34:50,-1.0,118.35,14.74,47.8
Flower power 6E45,PI040298AD5I209922,2018-08-18 12:49:50,-1.0,79.65,14.49,48.26
Flower power 6E45,PI040298AD5I209922,2018-08-18 13:04:50,-1.0,59.39,15.0,47.36
Flower power 6E45,PI040298AD5I209922,2018-08-18 13:19:50,-1.0,77.27,14.87,46.58
Flower power 6E45,PI040298AD5I209922,2018-08-18 13:34:50,-1.0,80.27,14.62,44.16
Flower power 6E45,PI040298AD5I209922,2018-08-18 13:49:50,-1.0,77.27,14.49,45.55
Flower power 6E45,PI040298AD5I209922,2018-08-18 14:04:50,-1.0,86.98,14.74,46.85
Flower power 6E45,PI040298AD5I209922,2018-08-18 14:19:50,-1.0,67.63,14.49,45.98
Flower power 6E45,PI040298AD5I209922,2018-08-18 14:34:50,-1.0,91.57,14.87,49.76
Flower power 6E45,PI040298AD5I209922,2018-08-18 14:49:50,-1.0,98.46,14.87,50.36
Flower power 6E45,PI040298AD5I209922,2018-08-18 15:04:50,-1.0,92.38,14.87,49.76
Flower power 6E45,PI040298AD5I209922,2018-08-18 15:19:50,-1.0,84.86,14.87,46.8
Flower power 6E45,PI040298AD5I209922,2018-08-18 15:34:50,-1.0,44.88,15.0,43.18
Flower power 6E45,PI040298AD5I209922,2018-08-18 15:49:50,-1.0,25.76,15.13,41.36
Flower power 6E45,PI040298AD5I209922,2018-08-18 16:04:50,-1.0,19.62,15.0,39.7
Flower power 6E45,PI040298AD5I209922,2018-08-18 16:19:50,-1.0,21.66,14.87,39.12
Flower power 6E45,PI040298AD5I209922,2018-08-18 16:34:50,-1.0,16.76,15.0,37.85
Flower power 6E45,PI040298AD5I209922,2018-08-18 16:49:50,-1.0,15.97,14.87,37.75
Flower power 6E45,PI040298AD5I209922,2018-08-18 17:04:50,-1.0,15.02,14.87,37.38
Flower power 6E45,PI040298AD5I209922,2018-08-18 17:19:50,-1.0,13.93,14.49,37.1
Flower power 6E45,PI040298AD5I209922,2018-08-18 17:34:50,-1.0,14.98,14.87,35.0
Flower power 6E45,PI040298AD5I209922,2018-08-18 17:49:50,-1.0,15.12,14.62,34.23
Flower power 6E45,PI040298AD5I209922,2018-08-18 18:04:50,-1.0,10.25,14.74,32.22
Flower power 6E45,PI040298AD5I209922,2018-08-18 18:19:50,-1.0,10.62,14.87,30.98
Flower power 6E45,PI040298AD5I209922,2018-08-18 18:34:50,-1.0,8.55,14.87,30.01
Flower power 6E45,PI040298AD5I209922,2018-08-18 18:49:50,-1.0,3.76,14.74,28.33
Flower power 6E45,PI040298AD5I209922,2018-08-18 19:04:50,-1.0,1.82,14.36,27.13
Flower power 6E45,PI040298AD5I209922,2018-08-18 19:19:50,-1.0,0.52,14.62,26.1
Flower power 6E45,PI040298AD5I209922,2018-08-18 19:34:50,-1.0,0.1,14.74,25.38
Flower power 6E45,PI040298AD5I209922,2018-08-18 19:49:50,-1.0,0.1,14.23,25.2
Flower power 6E45,PI040298AD5I209922,2018-08-18 20:04:50,-1.0,0.1,14.23,24.75
Flower power 6E45,PI040298AD5I209922,2018-08-18 20:19:50,-1.0,0.1,14.62,24.48
Flower power 6E45,PI040298AD5I209922,2018-08-18 20:34:50,-1.0,0.1,14.74,24.16
Flower power 6E45,PI040298AD5I209922,2018-08-18 20:49:50,-1.0,0.1,14.23,24.25
Flower power 6E45,PI040298AD5I209922,2018-08-18 21:04:50,-1.0,0.1,14.62,24.16
Flower power 6E45,PI040298AD5I209922,2018-08-18 21:19:50,-1.0,0.1,14.74,23.88
Flower power 6E45,PI040298AD5I209922,2018-08-18 21:34:50,-1.0,0.1,14.49,24.06
Flower power 6E45,PI040298AD5I209922,2018-08-18 21:49:50,-1.0,0.1,14.62,23.79
Flower power 6E45,PI040298AD5I209922,2018-08-18 22:04:50,-1.0,0.1,14.23,23.65
Flower power 6E45,PI040298AD5I209922,2018-08-18 22:19:50,-1.0,0.1,14.74,23.51
Flower power 6E45,PI040298AD5I209922,2018-08-18 22:34:50,-1.0,0.1,14.74,23.37
Flower power 6E45,PI040298AD5I209922,2018-08-18 22:49:50,-1.0,0.1,14.23,23.28
Flower power 6E45,PI040298AD5I209922,2018-08-18 23:04:50,-1.0,0.1,14.62,22.02
Flower power 6E45,PI040298AD5I209922,2018-08-18 23:19:50,-1.0,0.1,14.49,21.69
Flower power 6E45,PI040298AD5I209922,2018-08-18 23:34:50,-1.0,0.1,14.62,20.79
Flower power 6E45,PI040298AD5I209922,2018-08-18 23:49:50,-1.0,0.1,14.74,20.21
Flower power 6E45,PI040298AD5I209922,2018-08-19 00:04:50,-1.0,0.1,14.49,19.96
Flower power 6E45,PI040298AD5I209922,2018-08-19 00:19:50,-1.0,0.1,14.23,19.57
Flower power 6E45,PI040298AD5I209922,2018-08-19 00:34:50,-1.0,0.1,14.1,19.43
Flower power 6E45,PI040298AD5I209922,2018-08-19 00:49:50,-1.0,0.1,14.62,19.23
Flower power 6E45,PI040298AD5I209922,2018-08-19 01:04:50,-1.0,0.1,14.62,19.13
Flower power 6E45,PI040298AD5I209922,2018-08-19 01:19:50,-1.0,0.1,14.62,19.13
Flower power 6E45,PI040298AD5I209922,2018-08-19 01:34:50,-1.0,0.1,14.49,19.08
Flower power 6E45,PI040298AD5I209922,2018-08-19 01:49:50,-1.0,0.1,14.36,19.08
Flower power 6E45,PI040298AD5I209922,2018-08-19 02:04:50,-1.0,0.1,14.49,19.28
Flower power 6E45,PI040298AD5I209922,2018-08-19 02:19:50,-1.0,0.1,14.23,19.43
Flower power 6E45,PI040298AD5I209922,2018-08-19 02:34:50,-1.0,0.1,14.36,19.33
Flower power 6E45,PI040298AD5I209922,2018-08-19 02:49:50,-1.0,0.1,14.36,18.69
Flower power 6E45,PI040298AD5I209922,2018-08-19 03:04:50,-1.0,0.1,14.49,18.39
Flower power 6E45,PI040298AD5I209922,2018-08-19 03:19:50,-1.0,0.1,14.62,18.19
Flower power 6E45,PI040298AD5I209922,2018-08-19 03:34:50,-1.0,0.1,14.36,17.98
Flower power 6E45,PI040298AD5I209922,2018-08-19 03:49:50,-1.0,0.1,14.49,17.88
Flower power 6E45,PI040298AD5I209922,2018-08-19 04:04:50,-1.0,0.1,13.97,17.88
Flower power 6E45,PI040298AD5I209922,2018-08-19 04:19:50,-1.0,0.1,14.1,17.88
Flower power 6E45,PI040298AD5I209922,2018-08-19 04:34:50,-1.0,0.1,14.1,17.93
Flower power 6E45,PI040298AD5I209922,2018-08-19 04:49:50,-1.0,0.1,14.49,17.98
Flower power 6E45,PI040298AD5I209922,2018-08-19 05:04:50,-1.0,0.1,14.23,18.29
Flower power 6E45,PI040298AD5I209922,2018-08-19 05:19:50,-1.0,0.1,14.62,18.19
Flower power 6E45,PI040298AD5I209922,2018-08-19 05:34:50,-1.0,0.1,14.23,18.49
Flower power 6E45,PI040298AD5I209922,2018-08-19 05:49:50,-1.0,0.21,14.49,18.59
Flower power 6E45,PI040298AD5I209922,2018-08-19 06:04:50,-1.0,1.08,14.62,19.03
Flower power 6E45,PI040298AD5I209922,2018-08-19 06:19:50,-1.0,2.48,14.36,19.92
Flower power 6E45,PI040298AD5I209922,2018-08-19 06:34:50,-1.0,3.95,13.97,20.88
Flower power 6E45,PI040298AD5I209922,2018-08-19 06:49:50,-1.0,5.21,14.23,21.55
Flower power 6E45,PI040298AD5I209922,2018-08-19 07:04:50,-1.0,8.1,14.23,22.49
Flower power 6E45,PI040298AD5I209922,2018-08-19 07:19:50,-1.0,7.16,14.23,23.74
Flower power 6E45,PI040298AD5I209922,2018-08-19 07:34:50,-1.0,7.77,14.49,24.43
Flower power 6E45,PI040298AD5I209922,2018-08-19 07:49:50,-1.0,8.74,14.49,25.16
Flower power 6E45,PI040298AD5I209922,2018-08-19 08:04:50,-1.0,9.34,14.49,26.33
Flower power 6E45,PI040298AD5I209922,2018-08-19 08:19:50,-1.0,13.65,14.49,27.84
Flower power 6E45,PI040298AD5I209922,2018-08-19 08:34:50,-1.0,13.89,14.36,29.3
Flower power 6E45,PI040298AD5I209922,2018-08-19 08:49:50,-1.0,22.16,14.36,30.94
Flower power 6E45,PI040298AD5I209922,2018-08-19 09:04:50,-1.0,33.64,14.36,33.02
Flower power 6E45,PI040298AD5I209922,2018-08-19 09:19:50,-1.0,33.08,14.62,32.8
Flower power 6E45,PI040298AD5I209922,2018-08-19 09:34:50,-1.0,49.28,14.49,35.0
Flower power 6E45,PI040298AD5I209922,2018-08-19 09:49:50,-1.0,62.29,14.49,38.89
Flower power 6E45,PI040298AD5I209922,2018-08-19 10:04:50,-1.0,96.64,14.1,41.91
Flower power 6E45,PI040298AD5I209922,2018-08-19 10:19:50,-1.0,75.58,14.49,45.17
Flower power 6E45,PI040298AD5I209922,2018-08-19 10:34:50,-1.0,96.64,14.62,46.52
Flower power 6E45,PI040298AD5I209922,2018-08-19 10:49:50,-1.0,115.76,14.1,47.92
Flower power 6E45,PI040298AD5I209922,2018-08-19 11:04:50,-1.0,117.04,14.36,49.7
Flower power 6E45,PI040298AD5I209922,2018-08-19 11:19:50,-1.0,119.69,14.62,50.47
Flower power 6E45,PI040298AD5I209922,2018-08-19 11:34:50,-1.0,125.34,14.49,50.71
Flower power 6E45,PI040298AD5I209922,2018-08-19 11:49:50,-1.0,125.34,14.87,50.59
Flower power 6E45,PI040298AD5I209922,2018-08-19 12:04:50,-1.0,123.88,14.74,51.5
Flower power 6E45,PI040298AD5I209922,2018-08-19 12:19:50,-1.0,85.55,14.74,50.77
Flower power 6E45,PI040298AD5I209922,2018-08-19 12:34:50,-1.0,75.58,15.0,47.3
Flower power 6E45,PI040298AD5I209922,2018-08-19 12:49:50,-1.0,105.37,14.62,49.82
Flower power 6E45,PI040298AD5I209922,2018-08-19 13:04:50,-1.0,54.9,14.87,46.69
Flower power 6E45,PI040298AD5I209922,2018-08-19 13:19:50,-1.0,79.65,14.49,48.43
Flower power 6E45,PI040298AD5I209922,2018-08-19 13:34:50,-1.0,56.74,14.87,46.2
Flower power 6E45,PI040298AD5I209922,2018-08-19 13:49:50,-1.0,75.03,14.74,46.8
Flower power 6E45,PI040298AD5I209922,2018-08-19 14:04:50,-1.0,67.19,15.0,47.3
Flower power 6E45,PI040298AD5I209922,2018-08-19 14:19:50,-1.0,69.0,14.87,47.8
Flower power 6E45,PI040298AD5I209922,2018-08-19 14:34:50,-1.0,93.2,14.74,50.65
Flower power 6E45,PI040298AD5I209922,2018-08-19 14:49:50,-1.0,98.46,14.62,49.94
Flower power 6E45,PI040298AD5I209922,2018-08-19 15:04:50,-1.0,92.38,14.87,49.41
Flower power 6E45,PI040298AD5I209922,2018-08-19 15:19:50,-1.0,84.86,15.0,46.52
Flower power 6E45,PI040298AD5I209922,2018-08-19 15:34:50,-1.0,40.03,15.13,43.96
Flower power 6E45,PI040298AD5I209922,2018-08-19 15:49:50,-1.0,24.04,14.87,42.52
Flower power 6E45,PI040298AD5I209922,2018-08-19 16:04:50,-1.0,20.91,14.74,40.14
Flower power 6E45,PI040298AD5I209922,2018-08-19 16:19:50,-1.0,20.55,14.74,39.94
Flower power 6E45,PI040298AD5I209922,2018-08-19 16:34:50,-1.0,15.15,14.87,37.99
Flower power 6E45,PI040298AD5I209922,2018-08-19 16:49:50,-1.0,14.47,14.49,38.08
Flower power 6E45,PI040298AD5I209922,2018-08-19 17:04:50,-1.0,13.57,14.87,37.8
Flower power 6E45,PI040298AD5I209922,2018-08-19 17:19:50,-1.0,12.6,14.87,36.27
Flower power 6E45,PI040298AD5I209922,2018-08-19 17:34:50,-1.0,12.08,14.49,34.19
Flower power 6E45,PI040298AD5I209922,2018-08-19 17:49:50,-1.0,16.44,14.74,33.2
Flower power 6E45,PI040298AD5I209922,2018-08-19 18:04:50,-1.0,10.7,14.74,31.96
Flower power 6E45,PI040298AD5I209922,2018-08-19 18:19:50,-1.0,10.58,15.0,31.07
Flower power 6E45,PI040298AD5I209922,2018-08-19 18:34:50,-1.0,7.26,14.74,30.23
Flower power 6E45,PI040298AD5I209922,2018-08-19 18:49:50,-1.0,3.65,14.36,28.82
Flower power 6E45,PI040298AD5I209922,2018-08-19 19:04:50,-1.0,1.74,14.36,27.36
Flower power 6E45,PI040298AD5I209922,2018-08-19 19:19:50,-1.0,0.47,14.49,26.15
Flower power 6E45,PI040298AD5I209922,2018-08-19 19:34:50,-1.0,0.1,14.23,25.61
Flower power 6E45,PI040298AD5I209922,2018-08-19 19:49:50,-1.0,0.1,14.74,25.11
Flower power 6E45,PI040298AD5I209922,2018-08-19 20:04:50,-1.0,0.1,14.87,24.98
Flower power 6E45,PI040298AD5I209922,2018-08-19 20:19:50,-1.0,0.1,14.49,24.57
Flower power 6E45,PI040298AD5I209922,2018-08-19 20:34:50,-1.0,0.1,14.62,24.25
Flower power 6E45,PI040298AD5I209922,2018-08-19 20:49:50,-1.0,0.1,14.49,24.16
Flower power 6E45,PI040298AD5I209922,2018-08-19 21:04:50,-1.0,0.1,14.62,23.97
Flower power 6E45,PI040298AD5I209922,2018-08-19 21:19:50,-1.0,0.1,14.62,24.11
Flower power 6E45,PI040298AD5I209922,2018-08-19 21:34:50,-1.0,0.1,14.49,23.97
Flower power 6E45,PI040298AD5I209922,2018-08-19 21:49:50,-1.0,0.1,14.1,23.7
Flower power 6E45,PI040298AD5I209922,2018-08-19 22:04:50,-1.0,0.1,14.74,23.14
Flower power 6E45,PI040298AD5I209922,2018-08-19 22:19:50,-1.0,0.1,14.49,22.68
Flower power 6E45,PI040298AD5I209922,2018-08-19 22:34:50,-1.0,0.1,14.62,22.3
Flower power 6E45,PI040298AD5I209922,2018-08-19 22:49:50,-1.0,0.1,14.49,22.49
Flower power 6E45,PI040298AD5I209922,2018-08-19 23:04:50,-1.0,0.1,14.74,22.4
Flower power 6E45,PI040298AD5I209922,2018-08-19 23:19:50,-1.0,0.1,14.49,22.12
Flower power 6E45,PI040298AD5I209922,2018-08-19 23:34:50,-1.0,0.1,14.49,22.3
Flower power 6E45,PI040298AD5I209922,2018-08-19 23:49:50,-1.0,0.1,14.1,21.97
Flower power 6E45,PI040298AD5I209922,2018-08-20 00:04:50,-1.0,0.1,14.1,21.5
Flower power 6E45,PI040298AD5I209922,2018-08-20 00:19:50,-1.0,0.1,14.49,21.03
Flower power 6E45,PI040298AD5I209922,2018-08-20 00:34:50,-1.0,0.1,13.97,20.79
Flower power 6E45,PI040298AD5I209922,2018-08-20 00:49:50,-1.0,0.1,14.49,19.67
Flower power 6E45,PI040298AD5I209922,2018-08-20 01:04:50,-1.0,0.1,13.97,19.57
Flower power 6E45,PI040298AD5I209922,2018-08-20 01:19:50,-1.0,0.1,14.49,19.18
Flower power 6E45,PI040298AD5I209922,2018-08-20 01:34:50,-1.0,0.1,14.49,19.08
Flower power 6E45,PI040298AD5I209922,2018-08-20 01:49:50,-1.0,0.1,14.36,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-20 02:04:50,-1.0,0.1,14.1,18.69
Flower power 6E45,PI040298AD5I209922,2018-08-20 02:19:50,-1.0,0.1,13.97,18.69
Flower power 6E45,PI040298AD5I209922,2018-08-20 02:34:50,-1.0,0.1,14.49,18.54
Flower power 6E45,PI040298AD5I209922,2018-08-20 02:49:50,-1.0,0.1,13.97,18.83
Flower power 6E45,PI040298AD5I209922,2018-08-20 03:04:50,-1.0,0.1,14.1,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 03:19:50,-1.0,0.1,14.62,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 03:34:50,-1.0,0.1,14.62,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 03:49:50,-1.0,0.1,14.36,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 04:04:50,-1.0,0.1,14.49,18.83
Flower power 6E45,PI040298AD5I209922,2018-08-20 04:19:50,-1.0,0.1,14.62,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-20 04:34:50,-1.0,0.1,13.97,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-20 04:49:50,-1.0,0.1,14.36,18.69
Flower power 6E45,PI040298AD5I209922,2018-08-20 05:04:50,-1.0,0.1,14.36,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 05:19:50,-1.0,0.1,14.36,18.88
Flower power 6E45,PI040298AD5I209922,2018-08-20 05:34:50,-1.0,0.1,14.1,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-20 05:49:50,-1.0,0.18,14.62,18.78
Flower power 6E45,PI040298AD5I209922,2018-08-20 06:04:50,-1.0,0.96,14.1,19.03
Flower power 6E45,PI040298AD5I209922,2018-08-20 06:19:50,-1.0,2.33,14.1,19.82
Flower power 6E45,PI040298AD5I209922,2018-08-20 06:34:50,-1.0,3.92,14.49,20.74
Flower power 6E45,PI040298AD5I209922,2018-08-20 06:49:50,-1.0,5.42,14.36,21.83
Flower power 6E45,PI040298AD5I209922,2018-08-20 07:04:50,-1.0,7.24,14.36,23.14
Flower power 6E45,PI040298AD5I209922,2018-08-20 07:19:50,-1.0,8.09,14.36,24.93
Flower power 6E45,PI040298AD5I209922,2018-08-20 07:34:50,-1.0,8.98,14.36,25.65
Flower power 6E45,PI040298AD5I209922,2018-08-20 07:49:50,-1.0,10.42,14.49,26.24
Flower power 6E45,PI040298AD5I209922,2018-08-20 08:04:50,-1.0,10.65,14.1,27.0
Flower power 6E45,PI040298AD5I209922,2018-08-20 08:19:50,-1.0,13.11,14.23,28.24
Flower power 6E45,PI040298AD5I209922,2018-08-20 08:34:50,-1.0,14.43,14.62,29.75
Flower power 6E45,PI040298AD5I209922,2018-08-20 08:49:50,-1.0,38.48,13.97,30.67
Flower power 6E45,PI040298AD5I209922,2018-08-20 09:04:50,-1.0,30.42,14.49,32.22
Flower power 6E45,PI040298AD5I209922,2018-08-20 09:19:50,-1.0,37.89,14.23,33.2
Flower power 6E45,PI040298AD5I209922,2018-08-20 09:34:50,-1.0,42.41,14.36,34.91
Flower power 6E45,PI040298AD5I209922,2018-08-20 09:49:50,-1.0,71.89,14.1,39.08
Flower power 6E45,PI040298AD5I209922,2018-08-20 10:04:50,-1.0,86.98,14.1,42.21
